Entry	Status	Protein names	Gene names  (primary )	Gene names	Annotation	Keywords	Gene ontology (cellular component)
Q99244	reviewed	Voltage-dependent L-type calcium channel subunit alpha-1D (Calcium channel, L type, alpha-1 polypeptide isoform 2) (Voltage-gated calcium channel subunit alpha Cav1.3)	CACNA1D	CACNA1D CACH3 CACN4 CACNL1A2 CCHL1A2	5 out of 5	Alternative splicing;Calcium;Calcium channel;Calcium transport;Disulfide bond;Glycoprotein;Ion channel;Ion transport;Membrane;Metal-binding;Phosphoprotein;Reference proteome;Repeat;Transmembrane;Transmembrane helix;Transport;Voltage-gated channel	voltage-gated calcium channel complex [GO:0005891]
Q64255	reviewed	Alpha-sarcoglycan (Alpha-SG) (50 kDa dystrophin-associated glycoprotein) (50DAG) (Adhalin)	SGCA	SGCA	4 out of 5	Cell membrane;Cytoplasm;Cytoskeleton;Glycoprotein;Membrane;Phosphoprotein;Reference proteome;Signal;Transmembrane;Transmembrane helix	cell-cell junction [GO:0005911]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; integral component of membrane [GO:0016021]; membrane raft [GO:0045121]; sarcoglycan complex [GO:0016012]; sarcolemma [GO:0042383]
P43218	reviewed	Gastric inhibitory polypeptide receptor (GIP-R) (Glucose-dependent insulinotropic polypeptide receptor)	GIPR	GIPR	3 out of 5	Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Reference proteome;Signal;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
P86204	reviewed	Heat shock-related 70 kDa protein 2 (Fragments)	HSPA2	HSPA2	2 out of 5	ATP-binding;Chaperone;Cytoplasm;Cytoskeleton;Differentiation;Methylation;Nucleotide-binding;Reference proteome;Spermatogenesis;Stress response	CatSper complex [GO:0036128]; cytoplasm [GO:0005737]; meiotic spindle [GO:0072687]
Q8R481	reviewed	Lactoperoxidase (LPO) (EC 1.11.1.7) (Lacrimal gland peroxidase)	LPO	LPO	5 out of 5	Antimicrobial;Calcium;Disulfide bond;Glycoprotein;Heme;Iron;Metal-binding;Nitration;Oxidoreductase;Peroxidase;Phosphoprotein;Reference proteome;Secreted;Signal	basolateral plasma membrane [GO:0016323]; cytoplasm [GO:0005737]; extracellular space [GO:0005615]
P53988	reviewed	Monocarboxylate transporter 2 (MCT 2) (Solute carrier family 16 member 7)	SLC16A7	SLC16A7 MCT2	3 out of 5	Cell membrane;Membrane;Reference proteome;Symport;Transmembrane;Transmembrane helix;Transport	integral component of plasma membrane [GO:0005887]
P18841	reviewed	Alpha-1B adrenergic receptor (Alpha-1B adrenoreceptor) (Alpha-1B adrenoceptor)	ADRA1B	ADRA1B	4 out of 5	Cell membrane;Cytoplasm;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Nucleus;Palmitate;Phosphoprotein;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	caveola [GO:0005901]; cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; nuclear membrane [GO:0031965]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
Q60528	reviewed	Mucin-1 (MUC-1) (CD antigen CD227) [Cleaved into: Mucin-1 subunit alpha (MUC1-NT) (MUC1-alpha); Mucin-1 subunit beta (MUC1-beta) (MUC1-CT)]	MUC1	MUC1	5 out of 5	Autocatalytic cleavage;Cell membrane;Cytoplasm;Glycoprotein;Lipoprotein;Membrane;Nucleus;Palmitate;Phosphoprotein;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix	apical plasma membrane [GO:0016324]; cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; nucleus [GO:0005634]
Q5W9T8	reviewed	Placenta-expressed transcript 1 protein (Antigen AgK114)	PLET1	PLET1	3 out of 5	Cell membrane;Differentiation;GPI-anchor;Glycoprotein;Lipoprotein;Membrane;Reference proteome;Signal	anchored component of membrane [GO:0031225]; apical plasma membrane [GO:0016324]
Q60565	reviewed	Potassium voltage-gated channel subfamily V member 1 (Voltage-gated potassium channel subunit Kv8.1)	KCNV1	KCNV1	3 out of 5	Cell membrane;Ion channel;Ion transport;Membrane;Potassium;Potassium channel;Potassium transport;Reference proteome;Transmembrane;Transmembrane helix;Transport;Voltage-gated channel	voltage-gated potassium channel complex [GO:0008076]
