Gene Name	UniProt	GeneID	CSPA category	Surfaceome	CRISPR	GO cell surface	GO plasma membrane	Num cell surface evidence
ESYT2	A0FGR8	57488		FALSE	TRUE	FALSE	TRUE	1
ESYT3	A0FGR9	83850		TRUE	TRUE	FALSE	TRUE	2
ARHGAP10	A1A4S6	79658		FALSE	TRUE	FALSE	TRUE	1
LAMB4	A4D0S4	22798		FALSE	TRUE	FALSE	FALSE	1
IZUMO1R	A6ND01	390243		TRUE	TRUE	TRUE	TRUE	3
TMEM8B	A6NDV4	51754		TRUE	TRUE	TRUE	TRUE	3
ARHGAP32	A7KAX9	9743		FALSE	TRUE	FALSE	FALSE	1
FZD9	O00144	8326		TRUE	TRUE	TRUE	TRUE	3
SNAP23	O00161	8773		FALSE	TRUE	FALSE	TRUE	1
STXBP3	O00186	6814		FALSE	TRUE	FALSE	TRUE	1
AP4M1	O00189	9179		FALSE	TRUE	FALSE	FALSE	1
ARVCF	O00192	421		FALSE	TRUE	FALSE	TRUE	1
AP3B1	O00203	8546		FALSE	TRUE	FALSE	FALSE	1
TLR4	O00206	7099	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
PGRMC1	O00264	10857		FALSE	TRUE	FALSE	TRUE	1
SYT5	O00445	6861		FALSE	TRUE	FALSE	TRUE	1
CACNA1A	O00555	773		FALSE	TRUE	FALSE	TRUE	1
CCN1	O00622	3491		FALSE	TRUE	FALSE	FALSE	1
WNT7A	O00755	7476		FALSE	TRUE	TRUE	TRUE	2
ISLR	O14498	3671	1 - high confidence	FALSE	TRUE	FALSE	FALSE	2
ADGRB1	O14514	575		TRUE	TRUE	FALSE	TRUE	2
PTPRT	O14522	11122		TRUE	TRUE	TRUE	TRUE	3
ARHGAP33	O14559	115703		FALSE	TRUE	FALSE	TRUE	1
COPE	O14579	11316		FALSE	TRUE	FALSE	FALSE	1
AP3D1	O14617	8943		FALSE	TRUE	FALSE	FALSE	1
TOR1A	O14656	1861		FALSE	TRUE	FALSE	FALSE	1
ADAM10	O14672	102	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
NRP1	O14786	8829	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
