UniProt	GeneID	Gene Name	CSPA category	Surfaceome	CRISPR	GO cell surface	GO plasma membrane	Num cell surface evidence
A0FGR8	57488	ESYT2		FALSE	TRUE	FALSE	TRUE	1
A0FGR9	83850	ESYT3		TRUE	TRUE	FALSE	TRUE	2
A1A4S6	79658	ARHGAP10		FALSE	TRUE	FALSE	TRUE	1
A4D0S4	22798	LAMB4		FALSE	TRUE	FALSE	FALSE	1
A6ND01	390243	IZUMO1R		TRUE	TRUE	TRUE	TRUE	3
A6NDV4	51754	TMEM8B		TRUE	TRUE	TRUE	TRUE	3
A7KAX9	9743	ARHGAP32		FALSE	TRUE	FALSE	FALSE	1
O00144	8326	FZD9		TRUE	TRUE	TRUE	TRUE	3
O00161	8773	SNAP23		FALSE	TRUE	FALSE	TRUE	1
O00186	6814	STXBP3		FALSE	TRUE	FALSE	TRUE	1
O00189	9179	AP4M1		FALSE	TRUE	FALSE	FALSE	1
O00192	421	ARVCF		FALSE	TRUE	FALSE	TRUE	1
O00203	8546	AP3B1		FALSE	TRUE	FALSE	FALSE	1
O00206	7099	TLR4	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
O00264	10857	PGRMC1		FALSE	TRUE	FALSE	TRUE	1
O00445	6861	SYT5		FALSE	TRUE	FALSE	TRUE	1
O00555	773	CACNA1A		FALSE	TRUE	FALSE	TRUE	1
O00622	3491	CCN1		FALSE	TRUE	FALSE	FALSE	1
O00755	7476	WNT7A		FALSE	TRUE	TRUE	TRUE	2
O14498	3671	ISLR	1 - high confidence	FALSE	TRUE	FALSE	FALSE	2
O14514	575	ADGRB1		TRUE	TRUE	FALSE	TRUE	2
O14522	11122	PTPRT		TRUE	TRUE	TRUE	TRUE	3
O14559	115703	ARHGAP33		FALSE	TRUE	FALSE	TRUE	1
O14579	11316	COPE		FALSE	TRUE	FALSE	FALSE	1
O14617	8943	AP3D1		FALSE	TRUE	FALSE	FALSE	1
O14656	1861	TOR1A		FALSE	TRUE	FALSE	FALSE	1
O14672	102	ADAM10	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
O14786	8829	NRP1	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
O14836	23495	TNFRSF13B	2 - putative	TRUE	TRUE	FALSE	TRUE	3
O15078	80184	CEP290		FALSE	TRUE	FALSE	FALSE	1
O15394	4685	NCAM2	1 - high confidence	TRUE	TRUE	FALSE	TRUE	3
O15400	8417	STX7		FALSE	TRUE	FALSE	TRUE	1
O15455	7098	TLR3	1 - high confidence	TRUE	TRUE	FALSE	TRUE	3
O15520	2255	FGF10		FALSE	TRUE	TRUE	TRUE	2
O15537	6247	RS1		FALSE	TRUE	FALSE	TRUE	1
O43187	3656	IRAK2		FALSE	TRUE	FALSE	TRUE	1
O43294	7041	TGFB1I1		FALSE	TRUE	FALSE	TRUE	1
O43312	9788	MTSS1		FALSE	TRUE	FALSE	FALSE	1
O43490	8842	PROM1	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
O43497	8913	CACNA1G		TRUE	TRUE	FALSE	TRUE	2
O43529	9486	CHST10		FALSE	TRUE	FALSE	FALSE	1
O43581	9066	SYT7		FALSE	TRUE	FALSE	TRUE	1
O43747	164	AP1G1		FALSE	TRUE	FALSE	FALSE	1
O43752	10228	STX6		FALSE	TRUE	FALSE	TRUE	1
O43847	4898	NRDC		FALSE	TRUE	TRUE	FALSE	2
O60279	26032	SUSD5	1 - high confidence	TRUE	TRUE	FALSE	FALSE	3
O60494	8029	CUBN		FALSE	TRUE	TRUE	TRUE	2
O60499	8677	STX10		FALSE	TRUE	FALSE	FALSE	1
O60504	10174	SORBS3		FALSE	TRUE	FALSE	FALSE	1
O60565	26585	GREM1	1 - high confidence	FALSE	TRUE	TRUE	FALSE	3
O60603	7097	TLR2	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
O60609	2676	GFRA3		TRUE	TRUE	TRUE	TRUE	3
O60664	10226	PLIN3		FALSE	TRUE	FALSE	FALSE	1
O60676	10047	CST8		FALSE	TRUE	TRUE	FALSE	2
O60711	9404	LPXN		FALSE	TRUE	FALSE	TRUE	1
O60840	778	CACNA1F		FALSE	TRUE	FALSE	TRUE	1
O60894	10267	RAMP1		FALSE	TRUE	TRUE	TRUE	2
O60895	10266	RAMP2		TRUE	TRUE	TRUE	TRUE	3
O60896	10268	RAMP3	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
O60911	1515	CTSV	3 - unspecific	FALSE	TRUE	TRUE	TRUE	3
O75144	23308	ICOSLG	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
O75145	8541	PPFIA3		FALSE	TRUE	FALSE	FALSE	1
O75309	1014	CDH16		TRUE	TRUE	FALSE	TRUE	2
O75325	10446	LRRN2		TRUE	TRUE	FALSE	FALSE	2
O75326	8482	SEMA7A	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
O75330	3161	HMMR		FALSE	TRUE	TRUE	TRUE	2
O75334	8499	PPFIA2		FALSE	TRUE	TRUE	FALSE	2
O75335	8497	PPFIA4		FALSE	TRUE	TRUE	FALSE	2
O75354	955	ENTPD6		FALSE	TRUE	TRUE	TRUE	2
O75379	8674	VAMP4		FALSE	TRUE	TRUE	TRUE	2
O75487	2239	GPC4	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
O75558	8676	STX11		FALSE	TRUE	FALSE	TRUE	1
O75578	8515	ITGA10	1 - high confidence	TRUE	TRUE	FALSE	TRUE	3
O75581	4040	LRP6		TRUE	TRUE	TRUE	TRUE	3
O75712	2707	GJB3		TRUE	TRUE	FALSE	TRUE	2
O75787	10159	ATP6AP2		FALSE	TRUE	TRUE	TRUE	2
O75843	8906	AP1G2		FALSE	TRUE	FALSE	FALSE	1
O76027	8416	ANXA9		FALSE	TRUE	TRUE	TRUE	2
O76076	8839	CCN5		FALSE	TRUE	FALSE	FALSE	1
O94813	9353	SLIT2	1 - high confidence	FALSE	TRUE	TRUE	TRUE	3
O94875	8470	SORBS2		FALSE	TRUE	FALSE	TRUE	1
O94887	9855	FARP2		FALSE	TRUE	FALSE	FALSE	1
O94973	161	AP2A2		FALSE	TRUE	FALSE	TRUE	1
O94979	22872	SEC31A		FALSE	TRUE	FALSE	FALSE	1
O94985	22883	CLSTN1		TRUE	TRUE	TRUE	TRUE	3
O95180	8912	CACNA1H		FALSE	TRUE	FALSE	TRUE	1
O95292	9217	VAPB		FALSE	TRUE	FALSE	TRUE	1
O95377	2709	GJB5		TRUE	TRUE	FALSE	TRUE	2
O95388	8840	CCN4		FALSE	TRUE	FALSE	FALSE	1
O95389	8838	CCN6		FALSE	TRUE	FALSE	FALSE	1
O95393	27302	BMP10		FALSE	TRUE	TRUE	FALSE	2
O95452	10804	GJB6		TRUE	TRUE	FALSE	TRUE	2
O95487	10427	SEC24B		FALSE	TRUE	FALSE	FALSE	1
O95721	9342	SNAP29		FALSE	TRUE	FALSE	TRUE	1
O95782	160	AP2A1		FALSE	TRUE	FALSE	TRUE	1
O95832	9076	CLDN1		TRUE	TRUE	FALSE	TRUE	2
O95965	9358	ITGBL1		FALSE	TRUE	FALSE	TRUE	1
O96005	1209	CLPTM1	2 - putative	FALSE	TRUE	TRUE	TRUE	3
P00742	2159	F10		FALSE	TRUE	TRUE	TRUE	2
P00747	5340	PLG		FALSE	TRUE	TRUE	TRUE	2
P00749	5328	PLAU	1 - high confidence	FALSE	TRUE	TRUE	TRUE	3
P00750	5327	PLAT	1 - high confidence	FALSE	TRUE	TRUE	FALSE	3
P00813	100	ADA		FALSE	TRUE	TRUE	TRUE	2
P01127	5155	PDGFB		FALSE	TRUE	TRUE	TRUE	2
P01130	3949	LDLR	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
P01135	7039	TGFA		TRUE	TRUE	TRUE	TRUE	3
P01137	7040	TGFB1	1 - high confidence	FALSE	TRUE	TRUE	TRUE	3
P01375	7124	TNF		FALSE	TRUE	TRUE	TRUE	2
P01579	3458	IFNG		FALSE	TRUE	FALSE	FALSE	1
P01583	3552	IL1A		FALSE	TRUE	FALSE	FALSE	1
P01730	920	CD4	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
P01732	925	CD8A		TRUE	TRUE	TRUE	TRUE	3
P01911	3123	HLA-DRB1	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
P02452	1277	COL1A1	1 - high confidence	FALSE	TRUE	FALSE	FALSE	2
P02511	1410	CRYAB		FALSE	TRUE	TRUE	TRUE	2
P02649	348	APOE		FALSE	TRUE	FALSE	TRUE	1
P02671	2243	FGA	1 - high confidence	FALSE	TRUE	TRUE	TRUE	3
P02675	2244	FGB	1 - high confidence	FALSE	TRUE	TRUE	TRUE	3
P02679	2266	FGG		FALSE	TRUE	TRUE	TRUE	2
P02708	1134	CHRNA1		TRUE	TRUE	TRUE	TRUE	3
P02724	2993	GYPA		TRUE	TRUE	FALSE	TRUE	2
P02749	350	APOH	1 - high confidence	FALSE	TRUE	TRUE	FALSE	3
P02778	3627	CXCL10		FALSE	TRUE	TRUE	TRUE	2
P02818	632	BGLAP		FALSE	TRUE	FALSE	FALSE	1
P04085	5154	PDGFA		FALSE	TRUE	TRUE	FALSE	2
P04201	4142	MAS1		TRUE	TRUE	FALSE	TRUE	2
P04216	7070	THY1	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
P04233	972	CD74	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
P04275	7450	VWF	1 - high confidence	FALSE	TRUE	FALSE	FALSE	2
P04628	7471	WNT1		FALSE	TRUE	TRUE	TRUE	2
P04629	4914	NTRK1	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
P04792	3315	HSPB1		FALSE	TRUE	FALSE	TRUE	1
P05067	351	APP		TRUE	TRUE	TRUE	TRUE	3
P05106	3690	ITGB3	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
P05107	3689	ITGB2	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
P05112	3565	IL4		FALSE	TRUE	FALSE	FALSE	1
P05154	5104	SERPINA5		FALSE	TRUE	TRUE	TRUE	2
P05187	250	ALPP	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
P05231	3569	IL6		FALSE	TRUE	FALSE	TRUE	1
P05362	3383	ICAM1	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
P05556	3688	ITGB1	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
P05981	3249	HPN		FALSE	TRUE	TRUE	TRUE	2
P06127	921	CD5	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
P06576	506	ATP5F1B		FALSE	TRUE	TRUE	TRUE	2
P06729	914	CD2	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
P06734	2208	FCER2	1 - high confidence	FALSE	TRUE	TRUE	TRUE	3
P06756	3685	ITGAV	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
P06858	4023	LPL		TRUE	TRUE	TRUE	TRUE	3
P07093	5270	SERPINE2	1 - high confidence	FALSE	TRUE	TRUE	TRUE	3
P07202	7173	TPO		TRUE	TRUE	TRUE	TRUE	3
P07204	7056	THBD	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
P07237	5034	P4HB		FALSE	TRUE	TRUE	TRUE	2
P07333	1436	CSF1R		TRUE	TRUE	TRUE	TRUE	3
P07359	2811	GP1BA		TRUE	TRUE	TRUE	TRUE	3
P07766	916	CD3E		FALSE	TRUE	TRUE	TRUE	2
P07858	1508	CTSB		FALSE	TRUE	TRUE	TRUE	2
P07996	7057	THBS1	3 - unspecific	FALSE	TRUE	TRUE	TRUE	3
P08034	2705	GJB1		TRUE	TRUE	FALSE	TRUE	2
P08138	4804	NGFR		TRUE	TRUE	TRUE	TRUE	3
P08174	1604	CD55	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
P08183	5243	ABCB1	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
P08195	6520	SLC3A2	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
P08246	1991	ELANE	3 - unspecific	FALSE	TRUE	TRUE	FALSE	3
P08311	1511	CTSG		FALSE	TRUE	TRUE	TRUE	2
P08514	3674	ITGA2B	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
P08571	929	CD14	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
P08575	5788	PTPRC	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
P08637	2214	FCGR3A	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
P08648	3678	ITGA5	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
P08684	1576	CYP3A4		FALSE	TRUE	FALSE	FALSE	1
P08758	308	ANXA5		FALSE	TRUE	TRUE	TRUE	2
P08962	967	CD63	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
P08F94	5314	PKHD1		TRUE	TRUE	TRUE	TRUE	3
P09326	962	CD48	1 - high confidence	TRUE	TRUE	FALSE	TRUE	3
P09382	3956	LGALS1		FALSE	TRUE	TRUE	FALSE	2
P09429	3146	HMGB1		FALSE	TRUE	TRUE	TRUE	2
P09496	1211	CLTA		FALSE	TRUE	FALSE	TRUE	1
P09497	1212	CLTB		FALSE	TRUE	FALSE	TRUE	1
P09958	5045	FURIN		TRUE	TRUE	TRUE	TRUE	3
P0C091	166752	FREM3		FALSE	TRUE	FALSE	FALSE	1
P10276	5914	RARA		FALSE	TRUE	TRUE	FALSE	2
P10451	6696	SPP1		FALSE	TRUE	FALSE	FALSE	1
P10586	5792	PTPRF	1 - high confidence	TRUE	TRUE	FALSE	TRUE	3
P10600	7043	TGFB3		FALSE	TRUE	TRUE	TRUE	2
P10721	3815	KIT	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
P10747	940	CD28	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
P10809	3329	HSPD1	3 - unspecific	FALSE	TRUE	TRUE	TRUE	3
P10912	2690	GHR		TRUE	TRUE	TRUE	TRUE	3
P10915	1404	HAPLN1		FALSE	TRUE	FALSE	FALSE	1
P10966	926	CD8B		TRUE	TRUE	TRUE	TRUE	3
P11021	3309	HSPA5		FALSE	TRUE	TRUE	TRUE	2
P11142	3312	HSPA8	3 - unspecific	FALSE	TRUE	FALSE	TRUE	2
P11215	3684	ITGAM	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
P11233	5898	RALA		FALSE	TRUE	TRUE	TRUE	2
P11277	6710	SPTB		FALSE	TRUE	TRUE	TRUE	2
P11279	3916	LAMP1	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
P11532	1756	DMD		FALSE	TRUE	TRUE	TRUE	2
P11717	3482	IGF2R	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
P11836	931	MS4A1	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
P11912	973	CD79A	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
P12319	2205	FCER1A		TRUE	TRUE	TRUE	TRUE	3
P12643	650	BMP2		FALSE	TRUE	TRUE	TRUE	2
P12821	1636	ACE	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
P12830	999	CDH1	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
P13385	6997	TDGF1		TRUE	TRUE	TRUE	TRUE	3
P13591	4684	NCAM1	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
P13612	3676	ITGA4	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
P13726	2152	F3	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
P13929	2027	ENO3		FALSE	TRUE	FALSE	TRUE	1
P13987	966	CD59	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
P14151	6402	SELL	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4
