UniProt	GeneID	Gene Name	CSPA category	Surfaceome	CRISPR	GO cell surface	GO plasma membrane	Num cell surface evidence
A0A075B6H7		IGKV3-7		FALSE	FALSE	FALSE	TRUE	0
A0A075B6H8		IGKV1D-42		FALSE	FALSE	FALSE	TRUE	0
A0A075B6H9		IGLV4-69		FALSE	FALSE	FALSE	TRUE	0
A0A075B6I0		IGLV8-61		FALSE	FALSE	FALSE	TRUE	0
A0A075B6I1		IGLV4-60		FALSE	FALSE	FALSE	TRUE	0
A0A075B6I3		IGLV11-55		FALSE	FALSE	FALSE	TRUE	0
A0A075B6I4		IGLV10-54		FALSE	FALSE	FALSE	TRUE	0
A0A075B6I6		IGLV1-50		FALSE	FALSE	FALSE	TRUE	0
A0A075B6I7		IGLV5-48		FALSE	FALSE	FALSE	TRUE	0
A0A075B6I9		IGLV7-46		FALSE	FALSE	FALSE	TRUE	0
A0A075B6J1		IGLV5-37		FALSE	FALSE	FALSE	TRUE	0
A0A075B6J2		IGLV2-33		FALSE	FALSE	FALSE	TRUE	0
A0A075B6J6		IGLV3-22		FALSE	FALSE	FALSE	TRUE	0
A0A075B6J9		IGLV2-18		FALSE	FALSE	FALSE	TRUE	0
A0A075B6K0		IGLV3-16		FALSE	FALSE	FALSE	TRUE	0
A0A075B6K2		IGLV3-12		FALSE	FALSE	FALSE	TRUE	0
A0A075B6K4		IGLV3-10		FALSE	FALSE	FALSE	TRUE	0
A0A075B6K5		IGLV3-9		FALSE	FALSE	FALSE	TRUE	0
A0A075B6K6		IGLV4-3		FALSE	FALSE	FALSE	TRUE	0
A0A075B6N1		TRBV19		FALSE	FALSE	FALSE	TRUE	0
A0A075B6N2		TRBV20-1		FALSE	FALSE	FALSE	TRUE	0
A0A075B6N3		TRBV24-1		FALSE	FALSE	FALSE	TRUE	0
A0A075B6N4		TRBV25-1		FALSE	FALSE	FALSE	TRUE	0
A0A075B6P5		IGKV2-28		FALSE	FALSE	FALSE	TRUE	0
A0A075B6Q5		IGHV3-64		FALSE	FALSE	TRUE	TRUE	1
A0A075B6R0		TRGV2		FALSE	FALSE	TRUE	TRUE	1
A0A075B6R2		IGHV4-4		FALSE	FALSE	TRUE	TRUE	1
A0A075B6R9		IGKV2D-24		FALSE	FALSE	FALSE	TRUE	0
A0A075B6S0		TRGJ1		FALSE	FALSE	FALSE	TRUE	0
A0A075B6S2		IGKV2D-29		FALSE	FALSE	FALSE	TRUE	0
A0A075B6S4		IGKV1D-17		FALSE	FALSE	FALSE	TRUE	0
A0A075B6S5		IGKV1-27		FALSE	FALSE	FALSE	TRUE	0
A0A075B6S6		IGKV2D-30		FALSE	FALSE	FALSE	TRUE	0
A0A075B6S9		IGKV1-37		FALSE	FALSE	FALSE	TRUE	0
A0A075B6T6		TRAV12-2		FALSE	FALSE	FALSE	TRUE	0
A0A075B6T7		TRAV6		FALSE	FALSE	FALSE	TRUE	0
A0A075B6T8		TRAV9-1		FALSE	FALSE	FALSE	TRUE	0
A0A075B6U4		TRAV7		FALSE	FALSE	FALSE	TRUE	0
A0A075B6V5		TRAV36DV7		FALSE	FALSE	FALSE	TRUE	0
A0A075B6W5		TRAV23DV6		FALSE	FALSE	FALSE	TRUE	0
A0A075B6X5		TRAV18		FALSE	FALSE	FALSE	TRUE	0
A0A075B6Y3		TRAJ3		FALSE	FALSE	FALSE	TRUE	0
A0A075B6Y9		TRAJ42		FALSE	FALSE	FALSE	TRUE	0
A0A075B706		TRDJ1		FALSE	FALSE	FALSE	TRUE	0
A0A087WSX0		IGLV5-45		FALSE	FALSE	FALSE	TRUE	0
A0A087WSY4		IGHV4-30-2		FALSE	FALSE	TRUE	TRUE	1
A0A087WSY6		IGKV3D-15		FALSE	FALSE	FALSE	TRUE	0
A0A087WSZ0		IGKV1D-8		FALSE	FALSE	FALSE	TRUE	0
A0A087WSZ9		TRAV30		FALSE	FALSE	FALSE	TRUE	0
A0A087WT01		TRAV27		FALSE	FALSE	FALSE	TRUE	0
A0A087WT02		TRAV9-2		FALSE	FALSE	FALSE	TRUE	0
