UniProt	GeneID	Gene Name	CSPA category	Surfaceome	CRISPR	GO cell surface	GO plasma membrane	Num cell surface evidence
A0A075B6Q5		IGHV3-64		FALSE	FALSE	TRUE	TRUE	1
A0A075B6R0		TRGV2		FALSE	FALSE	TRUE	TRUE	1
A0A075B6R2		IGHV4-4		FALSE	FALSE	TRUE	TRUE	1
A0A087WSY4		IGHV4-30-2		FALSE	FALSE	TRUE	TRUE	1
A0A0A0MS14		IGHV1-45		FALSE	FALSE	TRUE	TRUE	1
A0A0A0MS15		IGHV3-49		FALSE	FALSE	TRUE	TRUE	1
A0A0B4J1U4		TRGV5		FALSE	FALSE	TRUE	TRUE	1
A0A0B4J1U7		IGHV6-1		FALSE	FALSE	TRUE	TRUE	1
A0A0B4J1V0		IGHV3-15		FALSE	FALSE	TRUE	TRUE	1
A0A0B4J1V1		IGHV3-21		FALSE	FALSE	TRUE	TRUE	1
A0A0B4J1V2		IGHV2-26		FALSE	FALSE	TRUE	TRUE	1
A0A0B4J1V6		IGHV3-73		FALSE	FALSE	TRUE	TRUE	1
A0A0B4J1V7		IGHV7-81		FALSE	FALSE	TRUE	TRUE	1
A0A0B4J1X5		IGHV3-74		FALSE	FALSE	TRUE	TRUE	1
A0A0B4J1X8		IGHV3-43		FALSE	FALSE	TRUE	TRUE	1
A0A0B4J1Y9		IGHV3-72		FALSE	FALSE	TRUE	TRUE	1
A0A0B4J2H0		IGHV1-69D		FALSE	FALSE	TRUE	TRUE	1
A0A0C4DH27		TRGV8		FALSE	FALSE	TRUE	TRUE	1
A0A0C4DH28		TRGV4		FALSE	FALSE	TRUE	TRUE	1
A0A0C4DH29		IGHV1-3		FALSE	FALSE	TRUE	TRUE	1
A0A0C4DH30		IGHV3-16		FALSE	FALSE	TRUE	TRUE	1
A0A0C4DH31		IGHV1-18		FALSE	FALSE	TRUE	TRUE	1
A0A0C4DH32		IGHV3-20		FALSE	FALSE	TRUE	TRUE	1
A0A0C4DH33		IGHV1-24		FALSE	FALSE	TRUE	TRUE	1
A0A0C4DH34		IGHV4-28		FALSE	FALSE	TRUE	TRUE	1
A0A0C4DH35		IGHV3-35		FALSE	FALSE	TRUE	TRUE	1
A0A0C4DH36		IGHV3-38		FALSE	FALSE	TRUE	TRUE	1
A0A0C4DH38		IGHV5-51		FALSE	FALSE	TRUE	TRUE	1
A0A0C4DH39		IGHV1-58		FALSE	FALSE	TRUE	TRUE	1
A0A0C4DH41		IGHV4-61		FALSE	FALSE	TRUE	TRUE	1
A0A0C4DH42		IGHV3-66		FALSE	FALSE	TRUE	TRUE	1
A0A0C4DH43		IGHV2-70D		FALSE	FALSE	TRUE	TRUE	1
A0A0G2JMI3		IGHV1-69-2		FALSE	FALSE	TRUE	TRUE	1
A0A0J9YVY3		IGHV7-4-1		FALSE	FALSE	TRUE	TRUE	1
A0A0J9YX35		IGHV3-64D		FALSE	FALSE	TRUE	TRUE	1
A0A0J9YXX1		IGHV5-10-1		FALSE	FALSE	TRUE	TRUE	1
A0A5B9		TRBC2		FALSE	FALSE	TRUE	TRUE	1
A0AV02	84561	SLC12A8		TRUE	FALSE	FALSE	FALSE	1
A0FGR8	57488	ESYT2		FALSE	TRUE	FALSE	TRUE	1
A0FGR9	83850	ESYT3		TRUE	TRUE	FALSE	TRUE	2
A0M8Q6		IGLC7		FALSE	FALSE	TRUE	TRUE	1
A0PJK1	125206	SLC5A10		TRUE	FALSE	FALSE	TRUE	1
A0PK11	645104	CLRN2		TRUE	FALSE	FALSE	FALSE	1
A0ZSE6		TMEM30CP		TRUE	FALSE	FALSE	TRUE	1
A1A4S6	79658	ARHGAP10		FALSE	TRUE	FALSE	TRUE	1
A1A5B4	338440	ANO9	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2
A1A5C7	63027	SLC22A23	2 - putative	TRUE	FALSE	FALSE	FALSE	2
A1L157	441631	TSPAN11		TRUE	FALSE	FALSE	TRUE	1
A2RRL7	155006	TMEM213		TRUE	FALSE	FALSE	FALSE	1
A2RU67	57613	FAM234B	2 - putative	FALSE	FALSE	FALSE	FALSE	1
A2VDJ0	23240	TMEM131L	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2
A3KFT3	127059	OR2M5		TRUE	FALSE	FALSE	TRUE	1
A4D0S4	22798	LAMB4		FALSE	TRUE	FALSE	FALSE	1
A4D2G3	392138	OR2A25		TRUE	FALSE	FALSE	TRUE	1
A4IF30	341880	SLC35F4		TRUE	FALSE	FALSE	FALSE	1
A5X5Y0	285242	HTR3E		TRUE	FALSE	FALSE	TRUE	1
A6BM72	84465	MEGF11		TRUE	FALSE	FALSE	TRUE	1
A6H8M9	389118	CDHR4		TRUE	FALSE	FALSE	TRUE	1
A6NC51	284417	TMEM150B		TRUE	FALSE	FALSE	TRUE	1
A6NCV1	254783	OR6C74		TRUE	FALSE	FALSE	TRUE	1
A6ND01	390243	IZUMO1R		TRUE	TRUE	TRUE	TRUE	3
