UniProt	GeneID	Gene Name	GO cell surface	GO plasma membrane	Gene Name - human	UniProt - human	GeneID - human	CSPA category	Surfaceome	CRISPR	GO cell surface - human	GO plasma membrane - human	Num cell surface evidence	Num plasma membrane evidence
A0A1B3B4Y9	101839938	Cd320	FALSE	TRUE	CD320	Q9NPF0	51293		TRUE	FALSE	FALSE	TRUE	1	2
A0A1U7Q205	101835011	Slc16a7	FALSE	TRUE	SLC16A7	O60669	9194		TRUE	FALSE	FALSE	TRUE	1	2
A0A1U7Q232	101825067	Sgcg	FALSE	TRUE	SGCG	Q13326	6445		FALSE	FALSE	FALSE	TRUE	0	2
A0A1U7Q247	101835340	Fshr	FALSE	TRUE	FSHR	P23945	2492		TRUE	TRUE	FALSE	TRUE	2	2
A0A1U7Q256	101830444	Lpo	FALSE	TRUE	LPO	P22079	4025		FALSE	FALSE	FALSE	TRUE	0	2
A0A1U7Q260	101834763	Ffar1	FALSE	TRUE	FFAR1	O14842	2864		TRUE	FALSE	FALSE	TRUE	1	2
A0A1U7Q267	101844542	Gjc1	FALSE	TRUE	GJC1	P36383	10052		FALSE	TRUE	FALSE	TRUE	1	2
A0A1U7Q2D3	101843941	Adra1b	FALSE	TRUE	ADRA1B	P35368	147		TRUE	FALSE	FALSE	TRUE	1	2
A0A1U7Q2D6	101837953	Sgcd	FALSE	TRUE	SGCD	Q92629	6444	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
A0A1U7Q2D7	101822397	Sgca	FALSE	TRUE	SGCA	Q16586	6442		TRUE	FALSE	FALSE	TRUE	1	2
A0A1U7Q2E7	101831878	Sgcb	FALSE	TRUE	SGCB	Q16585	6443	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
A0A1U7Q2G7	101825745	Mc2r	FALSE	TRUE	MC2R	Q01718	4158		TRUE	FALSE	FALSE	TRUE	1	2
A0A1U7Q2H9	101832157	Tmed10	FALSE	TRUE	TMED10	P49755	10972		FALSE	FALSE	FALSE	TRUE	0	2
A0A1U7Q2K8	101837901	LOC101837901	FALSE	TRUE	LOC101837901				FALSE	FALSE	FALSE	FALSE	0	1
A0A1U7Q2K9	101841395	LOC101841395	FALSE	TRUE	LOC101841395				FALSE	FALSE	FALSE	FALSE	0	1
A0A1U7Q2L0	101844329	LOC101844329	FALSE	TRUE	LOC101844329				FALSE	FALSE	FALSE	FALSE	0	1
A0A1U7Q2P5	101844431	Zfyve27	FALSE	TRUE	ZFYVE27	Q5T4F4	118813		TRUE	FALSE	FALSE	TRUE	1	2
A0A1U7Q2P8	101827451	Opalin	FALSE	TRUE	OPALIN	Q96PE5	93377		TRUE	FALSE	FALSE	TRUE	1	2
A0A1U7Q2Q0	101833457	Slc35g1	FALSE	TRUE	SLC35G1	Q2M3R5	159371		FALSE	FALSE	FALSE	TRUE	0	2
A0A1U7Q2Q9	101830911	Plgrkt	FALSE	TRUE	PLGRKT	Q9HBL7	55848		FALSE	FALSE	FALSE	TRUE	0	2
A0A1U7Q2R3	101836406	Kank1	FALSE	TRUE	KANK1	Q14678	23189		FALSE	FALSE	FALSE	TRUE	0	2
A0A1U7Q2R4	101838273	Apba1	FALSE	TRUE	APBA1	Q02410	320		FALSE	TRUE	FALSE	TRUE	1	2
A0A1U7Q2S0	101827276	LOC101827276	FALSE	TRUE	LOC101827276				FALSE	FALSE	FALSE	FALSE	0	1
A0A1U7Q2S1	101828848	LOC101828848	FALSE	TRUE	LOC101828848				FALSE	FALSE	FALSE	FALSE	0	1
A0A1U7Q2S3	101832835	LOC101832835	FALSE	TRUE	LOC101832835				FALSE	FALSE	FALSE	FALSE	0	1
A0A1U7Q2S4	101834138	LOC101834138	FALSE	TRUE	LOC101834138				FALSE	FALSE	FALSE	FALSE	0	1
A0A1U7Q2U1	101842388	Men1	FALSE	TRUE	MEN1	O00255	4221		FALSE	FALSE	FALSE	TRUE	0	2
A0A1U7Q2V1	101837203	Cst6	FALSE	TRUE	CST6	Q15828	1474		FALSE	FALSE	FALSE	TRUE	0	2
A0A1U7Q2V5	101822353	Sptbn2	FALSE	TRUE	SPTBN2	O15020	6712		FALSE	FALSE	FALSE	TRUE	0	2
A0A1U7Q2V7	101826140	Ankrd13d	FALSE	TRUE	ANKRD13D	Q6ZTN6	338692		FALSE	FALSE	FALSE	TRUE	0	2
A0A1U7Q2V8	101827540	Ppp1ca	FALSE	TRUE	PPP1CA	P62136	5499		FALSE	FALSE	FALSE	TRUE	0	2
