Gene Name	UniProt	GeneID	GO cell surface	GO plasma membrane	GeneID - human	Gene Name - human	UniProt - human	CSPA category	Surfaceome	CRISPR	GO cell surface - human	GO plasma membrane - human	Num cell surface evidence	Num plasma membrane evidence
STOML1	A0A1D5Q0D5	700510	FALSE	TRUE	9399	STOML1	Q9UBI4		FALSE	FALSE	FALSE	TRUE	0	2
FZD7	A0A1D5Q0F6	703064	FALSE	TRUE	8324	FZD7	O75084		TRUE	FALSE	FALSE	TRUE	1	2
SLC38A6	A0A1D5Q0G7;A0A5F8A4A8	704017	FALSE	TRUE	145389	SLC38A6	Q8IZM9	2 - putative	FALSE	FALSE	FALSE	TRUE	1	2
MAPK8IP1	A0A1D5Q0Z2	714950	FALSE	TRUE	9479	MAPK8IP1	Q9UQF2		FALSE	FALSE	FALSE	TRUE	0	2
FZD4	A0A1D5Q1B1;A0A5F8AC06	704754	FALSE	TRUE	8322	FZD4	Q9ULV1	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4	2
SMAD3	A0A1D5Q1C9	711355	FALSE	TRUE	4088	SMAD3	P84022		FALSE	FALSE	FALSE	TRUE	0	2
ZPLD1	A0A1D5Q1D3	703200	FALSE	FALSE	131368	ZPLD1	Q8TCW7		TRUE	FALSE	FALSE	FALSE	1	0
GLG1	A0A1D5Q1M7	710037	FALSE	FALSE	2734	GLG1	Q92896	1 - high confidence	FALSE	FALSE	FALSE	TRUE	1	1
MLC1	A0A1D5Q1N9	715409	FALSE	TRUE	23209	MLC1	Q15049		FALSE	FALSE	FALSE	TRUE	0	2
STXBP1	A0A1D5Q217;F7FLD8	707185	FALSE	FALSE	6812	STXBP1	P61764		FALSE	TRUE	FALSE	TRUE	1	1
STX3	A0A1D5Q2C9;A0A1D5QG76	698953;698831	FALSE	FALSE	6809;54948	STX3	Q13277		FALSE	TRUE	FALSE	TRUE	1	1
CYP24A1	A0A1D5Q2L7	698937	FALSE	TRUE	1591	CYP24A1	Q07973		FALSE	FALSE	FALSE	TRUE	0	2
PTBP1	A0A1D5Q2N4;F7GF18;H9FXJ7;H9FXJ8	703430	FALSE	FALSE	5725	PTBP1	P26599	3 - unspecific	FALSE	FALSE	FALSE	FALSE	1	0
RGS6	A0A1D5Q3B1	694620	FALSE	FALSE	9628	RGS6	P49758		FALSE	TRUE	FALSE	TRUE	1	1
SLC13A3	A0A1D5Q3G7	706364	FALSE	FALSE	64849	SLC13A3	Q8WWT9		TRUE	FALSE	FALSE	TRUE	1	1
MAPK8IP3	A0A1D5Q3K8	702388	FALSE	TRUE	23162				FALSE	FALSE	FALSE	FALSE	0	1
MILR1	A0A1D5Q432	717835	FALSE	FALSE	284021	MILR1	Q7Z6M3	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	1
ATP6V1C1	A0A1D5Q465	693840	FALSE	TRUE	528	ATP6V1C1	P21283		FALSE	FALSE	FALSE	TRUE	0	2
PDGFB	A0A1D5Q4I7	703173	FALSE	FALSE	5155	PDGFB	P01127		FALSE	TRUE	TRUE	TRUE	2	1
GRAMD1B	A0A1D5Q4J4;A0A1D5QTT7	708497	FALSE	FALSE	57476	GRAMD1B	Q3KR37		TRUE	FALSE	FALSE	TRUE	1	1
TMEM106B	A0A1D5Q515	694132	FALSE	FALSE	54664	TMEM106B	Q9NUM4	2 - putative	TRUE	FALSE	FALSE	FALSE	2	0
SLCO2A1	A0A1D5Q5B4	717411	FALSE	TRUE	6578	SLCO2A1	Q92959	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
MEGF8	A0A1D5Q5S1	709352	FALSE	FALSE	1954	MEGF8	Q7Z7M0	1 - high confidence	TRUE	FALSE	FALSE	FALSE	2	0
SLC13A2	A0A1D5Q6Z5	715895	FALSE	FALSE	9058	SLC13A2	Q13183		TRUE	FALSE	FALSE	TRUE	1	1
SLC39A14	A0A1D5Q778;A0A1D5RIG3;F6U2Z9	716112	FALSE	TRUE	23516	SLC39A14	Q15043	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
