UniProt	GeneID	Gene Name	GO cell surface	GO plasma membrane	Gene Name - human	UniProt - human	GeneID - human	CSPA category	Surfaceome	CRISPR	GO cell surface - human	GO plasma membrane - human	Num cell surface evidence	Num plasma membrane evidence
A0A075TJ59	106021061	DPP4	FALSE	FALSE	DPP4	P27487	1803	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4	1
A0A140EDM8	101843132	mif	FALSE	FALSE	MIF	P14174	4282		FALSE	FALSE	TRUE	TRUE	1	1
A0A1B3B4Y9	101839938	Cd320	FALSE	TRUE	CD320	Q9NPF0	51293		TRUE	FALSE	FALSE	TRUE	1	2
A0A1U7Q205	101835011	Slc16a7	FALSE	TRUE	SLC16A7	O60669	9194		TRUE	FALSE	FALSE	TRUE	1	2
A0A1U7Q209	101835279	Hsd11b1	FALSE	FALSE	HSD11B1	P28845	3290	2 - putative	FALSE	FALSE	FALSE	FALSE	1	0
A0A1U7Q225	101822760	Erbb2	FALSE	FALSE	ERBB2	P04626	2064	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	1
A0A1U7Q235	101834260	Sel1l	FALSE	FALSE	SEL1L	Q9UBV2	6400	1 - high confidence	FALSE	FALSE	FALSE	FALSE	1	0
A0A1U7Q238	101841186	Hp	FALSE	FALSE	HP	P00738	3240	1 - high confidence	FALSE	FALSE	FALSE	FALSE	1	0
A0A1U7Q247	101835340	Fshr	FALSE	TRUE	FSHR	P23945	2492		TRUE	TRUE	FALSE	TRUE	2	2
A0A1U7Q260	101834763	Ffar1	FALSE	TRUE	FFAR1	O14842	2864		TRUE	FALSE	FALSE	TRUE	1	2
A0A1U7Q267	101844542	Gjc1	FALSE	TRUE	GJC1	P36383	10052		FALSE	TRUE	FALSE	TRUE	1	2
A0A1U7Q273	101844587	Actb	FALSE	FALSE	ACTB	P60709	60	3 - unspecific	FALSE	FALSE	FALSE	TRUE	1	1
A0A1U7Q274	101824371	Zp3	FALSE	FALSE	ZP3	P21754	7784		TRUE	FALSE	FALSE	TRUE	1	1
A0A1U7Q296	101825431	Ifng	FALSE	FALSE	IFNG	P01579	3458		FALSE	TRUE	FALSE	FALSE	1	0
A0A1U7Q2B6	101841336	Apoa1	FALSE	FALSE	APOA1	P02647	335		FALSE	FALSE	TRUE	TRUE	1	1
A0A1U7Q2C1	101837243	Itih2	FALSE	FALSE	ITIH2	P19823	3698	1 - high confidence	FALSE	FALSE	FALSE	FALSE	1	0
A0A1U7Q2D2	101843678	Il12b	FALSE	FALSE	IL12B	P29460	3593		FALSE	FALSE	TRUE	TRUE	1	1
A0A1U7Q2D3	101843941	Adra1b	FALSE	TRUE	ADRA1B	P35368	147		TRUE	FALSE	FALSE	TRUE	1	2
A0A1U7Q2D6	101837953	Sgcd	FALSE	TRUE	SGCD	Q92629	6444	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
A0A1U7Q2D7	101822397	Sgca	FALSE	TRUE	SGCA	Q16586	6442		TRUE	FALSE	FALSE	TRUE	1	2
A0A1U7Q2E7	101831878	Sgcb	FALSE	TRUE	SGCB	Q16585	6443	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
A0A1U7Q2E9	101825089	Casp7	FALSE	FALSE	CASP7	P55210	840	3 - unspecific	FALSE	FALSE	FALSE	FALSE	1	0
A0A1U7Q2F4	101826056	Cd44	FALSE	FALSE	CD44	P16070	960	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4	1
A0A1U7Q2G7	101825745	Mc2r	FALSE	TRUE	MC2R	Q01718	4158		TRUE	FALSE	FALSE	TRUE	1	2
A0A1U7Q2J2	101839822	Vegfa	FALSE	FALSE	VEGFA	P15692	7422		FALSE	TRUE	TRUE	FALSE	2	0
A0A1U7Q2J3	101841330	Serpina1	FALSE	FALSE	SERPINA1	P01009	5265	1 - high confidence	FALSE	FALSE	FALSE	FALSE	1	0
A0A1U7Q2J5	101830769	Ly75	FALSE	FALSE	LY75	O60449		1 - high confidence	TRUE	FALSE	TRUE	TRUE	3	1
A0A1U7Q2L5	101835198	Slc22a11	FALSE	FALSE	SLC22A11	Q9NSA0	55867		TRUE	TRUE	TRUE	TRUE	3	1
A0A1U7Q2M0	101836403	Dmbt1	FALSE	FALSE	DMBT1	Q9UGM3	1755		FALSE	FALSE	TRUE	TRUE	1	1
A0A1U7Q2N3	101823503	Cnnm2	FALSE	FALSE	CNNM2	Q9H8M5	54805	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	1
A0A1U7Q2N6	101830284	Fgf8	FALSE	FALSE	FGF8	P55075	2253		FALSE	FALSE	TRUE	TRUE	1	1
A0A1U7Q2P2	101839421	Entpd7	FALSE	FALSE	ENTPD7	Q9NQZ7	57089	2 - putative	FALSE	FALSE	FALSE	FALSE	1	0
A0A1U7Q2P4	101842563	Loxl4	FALSE	FALSE	LOXL4	Q96JB6	84171	1 - high confidence	FALSE	FALSE	FALSE	FALSE	1	0
A0A1U7Q2P5	101844431	Zfyve27	FALSE	TRUE	ZFYVE27	Q5T4F4	118813		TRUE	FALSE	FALSE	TRUE	1	2
A0A1U7Q2P8	101827451	Opalin	FALSE	TRUE	OPALIN	Q96PE5	93377		TRUE	FALSE	FALSE	TRUE	1	2
A0A1U7Q2R4	101838273	Apba1	FALSE	TRUE	APBA1	Q02410	320		FALSE	TRUE	FALSE	TRUE	1	2
A0A1U7Q2S6	101838364	Tmem132a	FALSE	FALSE	TMEM132A	Q24JP5	54972	1 - high confidence	TRUE	FALSE	FALSE	FALSE	2	0
A0A1U7Q2T3	101827799	Stx5	FALSE	FALSE	STX5	Q13190	6811		FALSE	TRUE	FALSE	FALSE	1	0
A0A1U7Q2T9	101838621	Nrxn2	FALSE	FALSE	NRXN2	P58401;Q9P2S2	9379		TRUE	FALSE	FALSE	TRUE	1	1
A0A1U7Q2V6	101823954	Lrfn4	TRUE	FALSE	LRFN4	Q6PJG9	78999		TRUE	FALSE	TRUE	TRUE	3	1
A0A1U7Q2W1		Unc93b1	FALSE	FALSE	UNC93B1	Q9H1C4	81622		TRUE	FALSE	FALSE	FALSE	1	0
A0A1U7Q2W6	101841577	Mrgpre	FALSE	FALSE	MRGPRE	Q86SM8	116534		TRUE	FALSE	FALSE	TRUE	1	1
A0A1U7Q2Y0	101822974	Sprn	FALSE	TRUE	SPRN	Q5BIV9	503542		TRUE	FALSE	FALSE	TRUE	1	2
