UniProt	GeneID	Gene Name	GO cell surface	GO plasma membrane	GeneID - human	Gene Name - human	UniProt - human	CSPA category	Surfaceome	CRISPR	GO cell surface - human	GO plasma membrane - human	Num cell surface evidence	Num plasma membrane evidence
A0A1D5Q0F6	703064	FZD7	FALSE	TRUE	8324	FZD7	O75084		TRUE	FALSE	FALSE	TRUE	1	2
A0A1D5Q0G7	704017	SLC38A6	FALSE	TRUE	145389	SLC38A6	Q8IZM9	2 - putative	FALSE	FALSE	FALSE	TRUE	1	2
A0A1D5Q1B1	704754	FZD4	FALSE	TRUE	8322	FZD4	Q9ULV1	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4	2
A0A1D5Q1D3	703200	ZPLD1	FALSE	FALSE	131368	ZPLD1	Q8TCW7		TRUE	FALSE	FALSE	FALSE	1	0
A0A1D5Q1M7	710037	GLG1	FALSE	FALSE	2734	GLG1	Q92896	1 - high confidence	FALSE	FALSE	FALSE	TRUE	1	1
A0A1D5Q217	707185	STXBP1	FALSE	FALSE	6812	STXBP1	P61764		FALSE	TRUE	FALSE	TRUE	1	1
A0A1D5Q2C9	698953	STX3	FALSE	FALSE	6809	STX3	Q13277		FALSE	TRUE	FALSE	TRUE	1	1
A0A1D5Q2N4	703430	PTBP1	FALSE	FALSE	5725	PTBP1	P26599	3 - unspecific	FALSE	FALSE	FALSE	FALSE	1	0
A0A1D5Q3B1	694620	RGS6	FALSE	FALSE	9628	RGS6	P49758		FALSE	TRUE	FALSE	TRUE	1	1
A0A1D5Q3G7	706364	SLC13A3	FALSE	FALSE	64849	SLC13A3	Q8WWT9		TRUE	FALSE	FALSE	TRUE	1	1
A0A1D5Q432	717835	MILR1	FALSE	FALSE	284021	MILR1	Q7Z6M3	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	1
A0A1D5Q4I7	703173	PDGFB	FALSE	FALSE	5155	PDGFB	P01127		FALSE	TRUE	TRUE	TRUE	2	1
A0A1D5Q4J4	708497	GRAMD1B	FALSE	FALSE	57476	GRAMD1B	Q3KR37		TRUE	FALSE	FALSE	TRUE	1	1
A0A1D5Q515	694132	TMEM106B	FALSE	FALSE	54664	TMEM106B	Q9NUM4	2 - putative	TRUE	FALSE	FALSE	FALSE	2	0
A0A1D5Q5B4	717411	SLCO2A1	FALSE	TRUE	6578	SLCO2A1	Q92959	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
A0A1D5Q5S1	709352	MEGF8	FALSE	FALSE	1954	MEGF8	Q7Z7M0	1 - high confidence	TRUE	FALSE	FALSE	FALSE	2	0
A0A1D5Q6Z5	715895	SLC13A2	FALSE	FALSE	9058	SLC13A2	Q13183		TRUE	FALSE	FALSE	TRUE	1	1
A0A1D5Q778	716112	SLC39A14	FALSE	TRUE	23516	SLC39A14	Q15043	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
A0A1D5Q7C3	718092	CACNA1E	FALSE	TRUE	777	CACNA1E	Q15878		FALSE	TRUE	FALSE	TRUE	1	2
A0A1D5Q7E9	695684	ADRA2A	FALSE	TRUE	150	ADRA2A	P08913	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
A0A1D5Q7H5	702080	SLC10A5	FALSE	FALSE	347051	SLC10A5	Q5PT55		TRUE	FALSE	FALSE	FALSE	1	0
A0A1D5Q7Y2	705878	OR5M9	FALSE	TRUE	390162	OR5M9	Q8NGP3		TRUE	FALSE	FALSE	TRUE	1	2
A0A1D5Q8V4	695499	ANGPTL3	FALSE	FALSE	27329	ANGPTL3	Q9Y5C1		FALSE	FALSE	TRUE	FALSE	1	0
A0A1D5Q912	706696	RNPEP	FALSE	TRUE	6051	RNPEP	Q9H4A4		FALSE	TRUE	FALSE	TRUE	1	2
A0A1D5Q9C0	701444	ANGPTL2	FALSE	FALSE	23452	ANGPTL2	Q9UKU9	1 - high confidence	FALSE	FALSE	FALSE	FALSE	1	0
A0A1D5QAN4	677696	PCDH9	FALSE	TRUE	5101	PCDH9	Q9HC56	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
