Entry	Status	Protein names	Gene names  (primary )	Gene names	Annotation	Keywords	Gene ontology (cellular component)
P56483	reviewed	C-C chemokine receptor type 3 (C-C CKR-3) (CC-CKR-3) (CCR-3) (CCR3) (CKR3) (CD antigen CD193)	CCR3	CCR3 CMKBR3	3 out of 5	Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	cell [GO:0005623]; cytoplasm [GO:0005737]; external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]
P79188	reviewed	C5a anaphylatoxin chemotactic receptor 1 (C5a anaphylatoxin chemotactic receptor) (C5a-R) (C5aR) (CD antigen CD88) (Fragment)	C5AR1	C5AR1 C5AR C5R1	4 out of 5	Cell membrane;Chemotaxis;Cytoplasmic vesicle;Disulfide bond;G-protein coupled receptor;Membrane;Phosphoprotein;Receptor;Reference proteome;Sulfation;Transducer;Transmembrane;Transmembrane helix	apical part of cell [GO:0045177]; basolateral plasma membrane [GO:0016323]; cell [GO:0005623]; cytoplasmic vesicle [GO:0031410]; integral component of membrane [GO:0016021]
P50128	reviewed	5-hydroxytryptamine receptor 2A (5-HT-2) (5-HT-2A) (Serotonin receptor 2A)	HTR2A	HTR2A	5 out of 5	Behavior;Cell junction;Cell membrane;Cell projection;Cytoplasmic vesicle;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Phosphoprotein;Receptor;Reference proteome;Synapse;Transducer;Transmembrane;Transmembrane helix	axon [GO:0030424]; caveola [GO:0005901]; cell [GO:0005623]; cytoplasmic vesicle [GO:0031410]; dendrite [GO:0030425]; integral component of plasma membrane [GO:0005887]; presynapse [GO:0098793]
Q8HZP2	reviewed	B1 bradykinin receptor (B1R) (BK-1 receptor)	BDKRB1	BDKRB1	3 out of 5	Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
Q28509	reviewed	Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor)	ADRB2	ADRB2 B2AR	5 out of 5	Cell membrane;Disulfide bond;Endosome;G-protein coupled receptor;Glycoprotein;Hydroxylation;Lipoprotein;Membrane;Palmitate;Phosphoprotein;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix;Ubl conjugation	apical plasma membrane [GO:0016324]; early endosome [GO:0005769]; integral component of plasma membrane [GO:0005887]; nucleus [GO:0005634]; receptor complex [GO:0043235]
Q9XSD7	reviewed	C-C chemokine receptor-like 2	CCRL2	CCRL2	3 out of 5	Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	cell [GO:0005623]; cytoplasm [GO:0005737]; external side of plasma membrane [GO:0009897]; integral component of plasma membrane [GO:0005887]
P29216	reviewed	Amyloid-beta A4 protein (ABPP) (APP) (Alzheimer disease amyloid A4 protein homolog) (Amyloid precursor protein) (Amyloid-beta precursor protein) (Fragment)	APP	APP	5 out of 5	Alternative splicing;Amyloid;Cell membrane;Cell projection;Coated pit;Cytoplasmic vesicle;Disulfide bond;Endosome;Membrane;Protease inhibitor;Reference proteome;Serine protease inhibitor	clathrin-coated pit [GO:0005905]; early endosome [GO:0005769]; extracellular space [GO:0005615]; Golgi-associated vesicle [GO:0005798]; growth cone [GO:0030426]; integral component of membrane [GO:0016021]; perikaryon [GO:0043204]; recycling endosome [GO:0055037]
P61277	reviewed	Cathepsin K (EC 3.4.22.38)	CTSK	CTSK	4 out of 5	3D-structure;Cell membrane;Disulfide bond;Glycoprotein;Hydrolase;Lysosome;Membrane;Protease;Reference proteome;Secreted;Signal;Thiol protease;Zymogen	apical plasma membrane [GO:0016324]; extracellular space [GO:0005615]; lysosome [GO:0005764]
O97665	reviewed	C-C chemokine receptor type 8 (C-C CKR-8) (CC-CKR-8) (CCR-8) (CD antigen CDw198)	CCR8	CCR8	3 out of 5	Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	cell [GO:0005623]; external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]
Q5MB13	reviewed	Broad substrate specificity ATP-binding cassette transporter ABCG2 (EC 7.6.2.2) (ATP-binding cassette sub-family G member 2) (Urate exporter) (CD antigen CD338)	ABCG2	ABCG2	5 out of 5	ATP-binding;Cell membrane;Disulfide bond;Glycoprotein;Membrane;Mitochondrion;Nucleotide-binding;Phosphoprotein;Reference proteome;Translocase;Transmembrane;Transmembrane helix;Transport	apical plasma membrane [GO:0016324]; brush border membrane [GO:0031526]; integral component of membrane [GO:0016021]; membrane raft [GO:0045121]; mitochondrial membrane [GO:0031966]; plasma membrane [GO:0005886]
