Gene Name	UniProt	GeneID	GO cell surface	GO plasma membrane	Gene Name - human	UniProt - human	GeneID - human	CSPA category	Surfaceome	CRISPR	GO cell surface - human	GO plasma membrane - human	Num cell surface evidence	Num plasma membrane evidence
Cd320	A0A1B3B4Y9	101839938	FALSE	TRUE	CD320	Q9NPF0	51293		TRUE	FALSE	FALSE	TRUE	1	2
Slc16a7	A0A1U7Q205	101835011	FALSE	TRUE	SLC16A7	O60669	9194		TRUE	FALSE	FALSE	TRUE	1	2
Sgcg	A0A1U7Q232	101825067	FALSE	TRUE	SGCG	Q13326	6445		FALSE	FALSE	FALSE	TRUE	0	2
Fshr	A0A1U7Q247;A0A3Q0D246	101835340	FALSE	TRUE	FSHR	P23945	2492		TRUE	TRUE	FALSE	TRUE	2	2
Lpo	A0A1U7Q256;A0A3Q0CZY8	101830444	FALSE	TRUE	LPO	P22079	4025		FALSE	FALSE	FALSE	TRUE	0	2
Ffar1	A0A1U7Q260	101834763	FALSE	TRUE	FFAR1	O14842	2864		TRUE	FALSE	FALSE	TRUE	1	2
Gjc1	A0A1U7Q267	101844542	FALSE	TRUE	GJC1	P36383	10052		FALSE	TRUE	FALSE	TRUE	1	2
Adra1b	A0A1U7Q2D3;A0A3Q0CTF9	101843941	FALSE	TRUE	ADRA1B	P35368	147		TRUE	FALSE	FALSE	TRUE	1	2
Sgcd	A0A1U7Q2D6	101837953	FALSE	TRUE	SGCD	Q92629	6444	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
Sgca	A0A1U7Q2D7	101822397	FALSE	TRUE	SGCA	Q16586	6442		TRUE	FALSE	FALSE	TRUE	1	2
Sgcb	A0A1U7Q2E7	101831878	FALSE	TRUE	SGCB	Q16585	6443	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
Mc2r	A0A1U7Q2G7	101825745	FALSE	TRUE	MC2R	Q01718	4158		TRUE	FALSE	FALSE	TRUE	1	2
