Gene Name	UniProt	GeneID	CSPA category	Surfaceome	CRISPR	GO cell surface	GO plasma membrane	Num cell surface evidence
IGKV3-7	A0A075B6H7			FALSE	FALSE	FALSE	TRUE	0
IGKV1D-42	A0A075B6H8			FALSE	FALSE	FALSE	TRUE	0
IGLV4-69	A0A075B6H9			FALSE	FALSE	FALSE	TRUE	0
IGLV8-61	A0A075B6I0			FALSE	FALSE	FALSE	TRUE	0
IGLV4-60	A0A075B6I1			FALSE	FALSE	FALSE	TRUE	0
IGLV11-55	A0A075B6I3			FALSE	FALSE	FALSE	TRUE	0
IGLV10-54	A0A075B6I4			FALSE	FALSE	FALSE	TRUE	0
IGLV1-50	A0A075B6I6			FALSE	FALSE	FALSE	TRUE	0
IGLV5-48	A0A075B6I7			FALSE	FALSE	FALSE	TRUE	0
IGLV7-46	A0A075B6I9			FALSE	FALSE	FALSE	TRUE	0
IGLV5-37	A0A075B6J1			FALSE	FALSE	FALSE	TRUE	0
IGLV2-33	A0A075B6J2			FALSE	FALSE	FALSE	TRUE	0
IGLV3-22	A0A075B6J6			FALSE	FALSE	FALSE	TRUE	0
IGLV2-18	A0A075B6J9			FALSE	FALSE	FALSE	TRUE	0
IGLV3-16	A0A075B6K0			FALSE	FALSE	FALSE	TRUE	0
IGLV3-12	A0A075B6K2			FALSE	FALSE	FALSE	TRUE	0
IGLV3-10	A0A075B6K4			FALSE	FALSE	FALSE	TRUE	0
IGLV3-9	A0A075B6K5			FALSE	FALSE	FALSE	TRUE	0
IGLV4-3	A0A075B6K6			FALSE	FALSE	FALSE	TRUE	0
TRBV19	A0A075B6N1			FALSE	FALSE	FALSE	TRUE	0
TRBV20-1	A0A075B6N2			FALSE	FALSE	FALSE	TRUE	0
TRBV24-1	A0A075B6N3			FALSE	FALSE	FALSE	TRUE	0
TRBV25-1	A0A075B6N4			FALSE	FALSE	FALSE	TRUE	0
IGKV2-28	A0A075B6P5			FALSE	FALSE	FALSE	TRUE	0
IGHV3-64	A0A075B6Q5			FALSE	FALSE	TRUE	TRUE	1
TRGV2	A0A075B6R0			FALSE	FALSE	TRUE	TRUE	1
IGHV4-4	A0A075B6R2			FALSE	FALSE	TRUE	TRUE	1
IGKV2D-24	A0A075B6R9			FALSE	FALSE	FALSE	TRUE	0
TRGJ1	A0A075B6S0			FALSE	FALSE	FALSE	TRUE	0
IGKV2D-29	A0A075B6S2			FALSE	FALSE	FALSE	TRUE	0
IGKV1D-17	A0A075B6S4			FALSE	FALSE	FALSE	TRUE	0
IGKV1-27	A0A075B6S5			FALSE	FALSE	FALSE	TRUE	0
IGKV2D-30	A0A075B6S6			FALSE	FALSE	FALSE	TRUE	0
IGKV1-37	A0A075B6S9			FALSE	FALSE	FALSE	TRUE	0
TRAV12-2	A0A075B6T6			FALSE	FALSE	FALSE	TRUE	0
TRAV6	A0A075B6T7			FALSE	FALSE	FALSE	TRUE	0
TRAV9-1	A0A075B6T8			FALSE	FALSE	FALSE	TRUE	0
TRAV7	A0A075B6U4			FALSE	FALSE	FALSE	TRUE	0
TRAV36DV7	A0A075B6V5			FALSE	FALSE	FALSE	TRUE	0
TRAV23DV6	A0A075B6W5			FALSE	FALSE	FALSE	TRUE	0
TRAV18	A0A075B6X5			FALSE	FALSE	FALSE	TRUE	0
TRAJ3	A0A075B6Y3			FALSE	FALSE	FALSE	TRUE	0
TRAJ42	A0A075B6Y9			FALSE	FALSE	FALSE	TRUE	0
TRDJ1	A0A075B706			FALSE	FALSE	FALSE	TRUE	0
IGLV5-45	A0A087WSX0			FALSE	FALSE	FALSE	TRUE	0
IGHV4-30-2	A0A087WSY4			FALSE	FALSE	TRUE	TRUE	1
IGKV3D-15	A0A087WSY6			FALSE	FALSE	FALSE	TRUE	0
IGKV1D-8	A0A087WSZ0			FALSE	FALSE	FALSE	TRUE	0
TRAV30	A0A087WSZ9			FALSE	FALSE	FALSE	TRUE	0
TRAV27	A0A087WT01			FALSE	FALSE	FALSE	TRUE	0
TRAV9-2	A0A087WT02			FALSE	FALSE	FALSE	TRUE	0
TRAV26-1	A0A087WT03			FALSE	FALSE	FALSE	TRUE	0
TRBV16	A0A087WV62			FALSE	FALSE	FALSE	TRUE	0
TBC1D3D	A0A087WVF3	101060389		FALSE	FALSE	FALSE	TRUE	0
IGKV2-40	A0A087WW87			FALSE	FALSE	FALSE	TRUE	0
TBC1D3I	A0A087WXS9	102724862		FALSE	FALSE	FALSE	TRUE	0
TRBV18	A0A087X0M5			FALSE	FALSE	FALSE	TRUE	0
TBC1D3E	A0A087X179	102723859		FALSE	FALSE	FALSE	TRUE	0
TBC1D3K	A0A087X1G2	101060351		FALSE	FALSE	FALSE	TRUE	0
IGKV2D-26	A0A0A0MRZ7			FALSE	FALSE	FALSE	TRUE	0
IGKV3D-11	A0A0A0MRZ8			FALSE	FALSE	FALSE	TRUE	0
IGLV5-52	A0A0A0MRZ9			FALSE	FALSE	FALSE	TRUE	0
IGLV3-32	A0A0A0MS00			FALSE	FALSE	FALSE	TRUE	0
IGHV1-45	A0A0A0MS14			FALSE	FALSE	TRUE	TRUE	1
IGHV3-49	A0A0A0MS15			FALSE	FALSE	TRUE	TRUE	1
IGKV6D-21	A0A0A0MT36			FALSE	FALSE	FALSE	TRUE	0
TRBJ2-6	A0A0A0MT70			FALSE	FALSE	FALSE	TRUE	0
IGLJ1	A0A0A0MT76			FALSE	FALSE	FALSE	TRUE	0
TRBJ2-7	A0A0A0MT78			FALSE	FALSE	FALSE	TRUE	0
TRBJ2-4	A0A0A0MT87			FALSE	FALSE	FALSE	TRUE	0
IGKJ1	A0A0A0MT89			FALSE	FALSE	FALSE	TRUE	0
TRBJ2-2	A0A0A0MT94			FALSE	FALSE	FALSE	TRUE	0
TRBJ2-5	A0A0A0MTA4			FALSE	FALSE	FALSE	TRUE	0
TRBJ2-1	A0A0A0MTA7			FALSE	FALSE	FALSE	TRUE	0
TRAV14DV4	A0A0A6YYC5			FALSE	FALSE	FALSE	TRUE	0
TRBV13	A0A0A6YYD4			FALSE	FALSE	FALSE	TRUE	0
TRBV6-6	A0A0A6YYG2			FALSE	FALSE	FALSE	TRUE	0
TRBV6-8	A0A0A6YYG3			FALSE	FALSE	FALSE	TRUE	0
TRAV8-3	A0A0A6YYJ7			FALSE	FALSE	FALSE	TRUE	0
TRAV8-1	A0A0A6YYK1			FALSE	FALSE	FALSE	TRUE	0
TRAV16	A0A0A6YYK6			FALSE	FALSE	FALSE	TRUE	0
TRAV19	A0A0A6YYK7			FALSE	FALSE	FALSE	TRUE	0
IGLV1-36	A0A0B4J1U3			FALSE	FALSE	FALSE	TRUE	0
TRGV5	A0A0B4J1U4			FALSE	FALSE	TRUE	TRUE	1
TRBV9	A0A0B4J1U6			FALSE	FALSE	FALSE	TRUE	0
IGHV6-1	A0A0B4J1U7			FALSE	FALSE	TRUE	TRUE	1
IGHV3-15	A0A0B4J1V0			FALSE	FALSE	TRUE	TRUE	1
IGHV3-21	A0A0B4J1V1			FALSE	FALSE	TRUE	TRUE	1
IGHV2-26	A0A0B4J1V2			FALSE	FALSE	TRUE	TRUE	1
IGHV3-73	A0A0B4J1V6			FALSE	FALSE	TRUE	TRUE	1
IGHV7-81	A0A0B4J1V7			FALSE	FALSE	TRUE	TRUE	1
