GeneID	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)
	A0A075B6Q5	HV364_HUMAN	reviewed	Immunoglobulin heavy variable 3-64	IGHV3-64	Homo sapiens (Human)	118	"B cell receptor signaling pathway [GO:0050853]; complement activation, classical pathway [GO:0006958]; defense response to bacterium [GO:0042742]; innate immune response [GO:0045087]; phagocytosis, engulfment [GO:0006911]; phagocytosis, recognition [GO:0006910]; positive regulation of B cell activation [GO:0050871]"	"external side of plasma membrane [GO:0009897]; immunoglobulin complex, circulating [GO:0042571]"	antigen binding [GO:0003823]; immunoglobulin receptor binding [GO:0034987]
	A0A075B6R0	TRGV2_HUMAN	reviewed	T cell receptor gamma variable 2	TRGV2 TCRGV2	Homo sapiens (Human)	118	adaptive immune response [GO:0002250]; innate immune response [GO:0045087]	external side of plasma membrane [GO:0009897]; T cell receptor complex [GO:0042101]	
	A0A075B6R2	HV404_HUMAN	reviewed	Immunoglobulin heavy variable 4-4	IGHV4-4	Homo sapiens (Human)	117	"B cell receptor signaling pathway [GO:0050853]; complement activation, classical pathway [GO:0006958]; defense response to bacterium [GO:0042742]; innate immune response [GO:0045087]; phagocytosis, engulfment [GO:0006911]; phagocytosis, recognition [GO:0006910]; positive regulation of B cell activation [GO:0050871]"	"external side of plasma membrane [GO:0009897]; immunoglobulin complex, circulating [GO:0042571]"	antigen binding [GO:0003823]; immunoglobulin receptor binding [GO:0034987]
	A0A087WSY4	HV432_HUMAN	reviewed	Immunoglobulin heavy variable 4-30-2	IGHV4-30-2	Homo sapiens (Human)	118	"B cell receptor signaling pathway [GO:0050853]; complement activation, classical pathway [GO:0006958]; defense response to bacterium [GO:0042742]; innate immune response [GO:0045087]; phagocytosis, engulfment [GO:0006911]; phagocytosis, recognition [GO:0006910]; positive regulation of B cell activation [GO:0050871]"	"external side of plasma membrane [GO:0009897]; immunoglobulin complex, circulating [GO:0042571]"	antigen binding [GO:0003823]; immunoglobulin receptor binding [GO:0034987]
	A0A0A0MS14	HV145_HUMAN	reviewed	Immunoglobulin heavy variable 1-45	IGHV1-45	Homo sapiens (Human)	117	"B cell receptor signaling pathway [GO:0050853]; complement activation, classical pathway [GO:0006958]; defense response to bacterium [GO:0042742]; innate immune response [GO:0045087]; phagocytosis, engulfment [GO:0006911]; phagocytosis, recognition [GO:0006910]; positive regulation of B cell activation [GO:0050871]"	"external side of plasma membrane [GO:0009897]; immunoglobulin complex, circulating [GO:0042571]"	antigen binding [GO:0003823]; immunoglobulin receptor binding [GO:0034987]
	A0A0A0MS15	HV349_HUMAN	reviewed	Immunoglobulin heavy variable 3-49	IGHV3-49	Homo sapiens (Human)	119	"B cell receptor signaling pathway [GO:0050853]; complement activation, classical pathway [GO:0006958]; defense response to bacterium [GO:0042742]; innate immune response [GO:0045087]; phagocytosis, engulfment [GO:0006911]; phagocytosis, recognition [GO:0006910]; positive regulation of B cell activation [GO:0050871]"	"external side of plasma membrane [GO:0009897]; immunoglobulin complex, circulating [GO:0042571]"	antigen binding [GO:0003823]; immunoglobulin receptor binding [GO:0034987]
	A0A0B4J1U4	TRGV5_HUMAN	reviewed	T cell receptor gamma variable 5	TRGV5 TCRGV5	Homo sapiens (Human)	118	adaptive immune response [GO:0002250]; innate immune response [GO:0045087]	external side of plasma membrane [GO:0009897]; T cell receptor complex [GO:0042101]	
	A0A0B4J1U7	HV601_HUMAN	reviewed	Immunoglobulin heavy variable 6-1	IGHV6-1	Homo sapiens (Human)	121	"B cell receptor signaling pathway [GO:0050853]; complement activation, classical pathway [GO:0006958]; defense response to bacterium [GO:0042742]; innate immune response [GO:0045087]; phagocytosis, engulfment [GO:0006911]; phagocytosis, recognition [GO:0006910]; positive regulation of B cell activation [GO:0050871]"	"external side of plasma membrane [GO:0009897]; immunoglobulin complex, circulating [GO:0042571]"	antigen binding [GO:0003823]; immunoglobulin receptor binding [GO:0034987]
	A0A0B4J1V0	HV315_HUMAN	reviewed	Immunoglobulin heavy variable 3-15	IGHV3-15	Homo sapiens (Human)	119	"B cell receptor signaling pathway [GO:0050853]; complement activation, classical pathway [GO:0006958]; defense response to bacterium [GO:0042742]; innate immune response [GO:0045087]; phagocytosis, engulfment [GO:0006911]; phagocytosis, recognition [GO:0006910]; positive regulation of B cell activation [GO:0050871]"	"external side of plasma membrane [GO:0009897]; immunoglobulin complex, circulating [GO:0042571]"	antigen binding [GO:0003823]; immunoglobulin receptor binding [GO:0034987]
	A0A0B4J1V1	HV321_HUMAN	reviewed	Immunoglobulin heavy variable 3-21	IGHV3-21	Homo sapiens (Human)	117	"B cell receptor signaling pathway [GO:0050853]; complement activation, classical pathway [GO:0006958]; defense response to bacterium [GO:0042742]; innate immune response [GO:0045087]; phagocytosis, engulfment [GO:0006911]; phagocytosis, recognition [GO:0006910]; positive regulation of B cell activation [GO:0050871]"	"external side of plasma membrane [GO:0009897]; immunoglobulin complex, circulating [GO:0042571]"	antigen binding [GO:0003823]; immunoglobulin receptor binding [GO:0034987]
