Entry	Status	Protein names	Gene names  (primary )	Gene names	Annotation	Keywords	Gene ontology (cellular component)
P34740	reviewed	Syndecan-1 (SYND1) (CD antigen CD138)	SDC1	SDC1	4 out of 5	Glycoprotein;Heparan sulfate;Membrane;Phosphoprotein;Proteoglycan;Reference proteome;Secreted;Signal;Transmembrane;Transmembrane helix	external side of plasma membrane [GO:0009897]; extracellular region [GO:0005576]; integral component of membrane [GO:0016021]
P04273	reviewed	Major prion protein (PrP) (PrP27-30) (PrP33-35C) (CD antigen CD230)	PRNP	PRNP PRP	5 out of 5	3D-structure;Amyloid;Cell cycle;Cell membrane;Copper;Disulfide bond;GPI-anchor;Glycoprotein;Golgi apparatus;Growth arrest;Lipoprotein;Membrane;Metal-binding;Prion;Reference proteome;Repeat;Signal;Zinc	anchored component of membrane [GO:0031225]; cell surface [GO:0009986]; cytosol [GO:0005829]; dendrite [GO:0030425]; endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; inclusion body [GO:0016234]; membrane raft [GO:0045121]; nuclear membrane [GO:0031965]; plasma membrane [GO:0005886]; terminal bouton [GO:0043195]
A0A3Q0DCS2	unreviewed	C-C chemokine receptor type 6 isoform X2	Ccr6	Ccr6	3 out of 5	G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]; sperm midpiece [GO:0097225]; sperm plasma membrane [GO:0097524]; sperm principal piece [GO:0097228]
A0A1U8BLV2	unreviewed	C-X-C chemokine receptor type 5	Cxcr5	Cxcr5	2 out of 5	G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]
A0A1U8CM00	unreviewed	platelet glycoprotein 4	Cd36	Cd36	5 out of 5	Disulfide bond;Isopeptide bond;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Ubl conjugation	apical part of cell [GO:0045177]; brush border membrane [GO:0031526]; cell [GO:0005623]; external side of plasma membrane [GO:0009897]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; membrane raft [GO:0045121]; receptor complex [GO:0043235]
A0A1U7R2A8	unreviewed	Hedgehog protein	Shh	Shh	5 out of 5	Autocatalytic cleavage;Calcium;Cell membrane;Developmental protein;Hydrolase;Membrane;Metal-binding;Protease;Reference proteome;Signal;Zinc	cell surface [GO:0009986]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]
A0A1U7QNF5	unreviewed	A disintegrin and metalloproteinase with thrombospondin motifs 9	Adamts9	Adamts9	3 out of 5	Disulfide bond;Integrin;Reference proteome;Signal	cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]
A0A1U7QB40	unreviewed	toll-like receptor 4	Tlr4	Tlr4	5 out of 5	Immunity;Innate immunity;Leucine-rich repeat;Membrane;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix	external side of plasma membrane [GO:0009897]; Golgi apparatus [GO:0005794]; integral component of plasma membrane [GO:0005887]; lipopolysaccharide receptor complex [GO:0046696]; perinuclear region of cytoplasm [GO:0048471]; phagocytic cup [GO:0001891]
A0A1U7QI10	unreviewed	histone H1.1	LOC101828080	LOC101828080	2 out of 5	Chromosome;DNA-binding;Nucleus;Reference proteome	cell surface [GO:0009986]; host cell nucleus [GO:0042025]; nuclear euchromatin [GO:0005719]; nucleosome [GO:0000786]; vesicle [GO:0031982]
A0A1U7REK9	unreviewed	glypican-4	Gpc4	Gpc4	2 out of 5	GPI-anchor;Glycoprotein;Heparan sulfate;Lipoprotein;Membrane;Proteoglycan;Reference proteome;Signal	anchored component of plasma membrane [GO:0046658]; collagen-containing extracellular matrix [GO:0062023]; external side of plasma membrane [GO:0009897]; glutamatergic synapse [GO:0098978]
A0A1U7R2I2	unreviewed	Hyaluronidase (EC 3.2.1.35)	Hyal5	Hyal5	2 out of 5	Disulfide bond;Glycosidase;Hydrolase;Reference proteome	acrosomal vesicle [GO:0001669]; external side of plasma membrane [GO:0009897]
A0A1U8CR03	unreviewed	high affinity immunoglobulin epsilon receptor subunit gamma	Fcer1g	Fcer1g	5 out of 5	Receptor;Reference proteome	external side of plasma membrane [GO:0009897]; Fc-epsilon receptor I complex [GO:0032998]; integral component of plasma membrane [GO:0005887]
A0A1U7QUB5	unreviewed	adherens junction-associated protein 1	Ajap1	Ajap1	2 out of 5	Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix	adherens junction [GO:0005912]; basolateral plasma membrane [GO:0016323]; cell-cell contact zone [GO:0044291]; cell surface [GO:0009986]; cytoplasmic side of plasma membrane [GO:0009898]; spanning component of plasma membrane [GO:0044214]
A0A1U7QEJ0	unreviewed	frizzled-5	Fzd5	Fzd5	5 out of 5	Developmental protein;Disulfide bond;Membrane;Receptor;Reference proteome;Signal;Transmembrane;Transmembrane helix;Wnt signaling pathway	bicellular tight junction [GO:0005923]; cell surface [GO:0009986]; early endosome [GO:0005769]; Golgi apparatus [GO:0005794]; integral component of plasma membrane [GO:0005887]; perinuclear region of cytoplasm [GO:0048471]
A0A1U7R6W6	unreviewed	potassium voltage-gated channel subfamily H member 2 isoform X1	Kcnh2	Kcnh2	3 out of 5	Ion channel;Ion transport;Membrane;Potassium;Potassium channel;Potassium transport;Reference proteome;Transmembrane;Transmembrane helix;Transport;Voltage-gated channel	cell surface [GO:0009986]; inward rectifier potassium channel complex [GO:1902937]; perinuclear region of cytoplasm [GO:0048471]
A0A1U7QZZ9	unreviewed	Fibroblast growth factor (FGF)	Fgf10	Fgf10	5 out of 5	Growth factor;Reference proteome;Signal	cell [GO:0005623]; cell surface [GO:0009986]; collagen-containing extracellular matrix [GO:0062023]; extracellular space [GO:0005615]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
A0A1U7Q9T3	unreviewed	Serine/threonine-protein kinase receptor (EC 2.7.11.30)	Acvr2a	Acvr2a	5 out of 5	ATP-binding;Kinase;Magnesium;Manganese;Membrane;Metal-binding;Nucleotide-binding;Receptor;Reference proteome;Serine/threonine-protein kinase;Signal;Transferase;Transmembrane;Transmembrane helix	cell surface [GO:0009986]; cytoplasm [GO:0005737]; inhibin-betaglycan-ActRII complex [GO:0034673]; integral component of membrane [GO:0016021]; receptor complex [GO:0043235]
A0A1U7QJD3	unreviewed	Receptor protein serine/threonine kinase (EC 2.7.11.30)	Acvr1b	Acvr1b	4 out of 5	ATP-binding;Kinase;Membrane;Nucleotide-binding;Receptor;Reference proteome;Serine/threonine-protein kinase;Signal;Transferase;Transmembrane;Transmembrane helix	activin receptor complex [GO:0048179]; cell surface [GO:0009986]; cytosol [GO:0005829]
A0A1U7R655	unreviewed	lymphocyte antigen 6 complex locus protein G6d	Ly6g6d	Ly6g6d	1 out of 5	Reference proteome;Signal	external side of plasma membrane [GO:0009897]; protein-containing complex [GO:0032991]; synapse [GO:0045202]
A0A1U7QFA1	unreviewed	CD83 antigen isoform X1	Cd83	Cd83	2 out of 5	Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix	external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]
A0A1U8CCS1	unreviewed	Carboxylic ester hydrolase (EC 3.1.1.-)	Ache	Ache	4 out of 5	Hydrolase;Reference proteome;Signal	basement membrane [GO:0005604]; cell surface [GO:0009986]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; neuromuscular junction [GO:0031594]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]
A0A1U7R3Q8	unreviewed	frizzled-9	Fzd9	Fzd9	3 out of 5	Developmental protein;Disulfide bond;Membrane;Receptor;Reference proteome;Signal;Transmembrane;Transmembrane helix;Wnt signaling pathway	cell surface [GO:0009986]; filopodium membrane [GO:0031527]; integral component of membrane [GO:0016021]; perinuclear region of cytoplasm [GO:0048471]
A0A1U7QFU4	unreviewed	vesicle-associated membrane protein 4 isoform X1	Vamp4	Vamp4	2 out of 5	Coiled coil;Membrane;Reference proteome;Transmembrane;Transmembrane helix	cell surface [GO:0009986]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]
A0A1U7QKA1	unreviewed	Endoplasmic reticulum resident protein 29	Erp29	Erp29	2 out of 5	Endoplasmic reticulum;Reference proteome;Signal	cell surface [GO:0009986]; endoplasmic reticulum lumen [GO:0005788]; melanosome [GO:0042470]
A0A1U7QV28	unreviewed	cathepsin B	Ctsb	Ctsb	3 out of 5	Hydrolase;Protease;Reference proteome;Signal;Thiol protease	external side of plasma membrane [GO:0009897]; extracellular space [GO:0005615]; lysosome [GO:0005764]; nucleolus [GO:0005730]; perinuclear region of cytoplasm [GO:0048471]
A0A1U8D0Y9	unreviewed	class II histocompatibility antigen, M alpha chain	LOC101844787	LOC101844787	2 out of 5	Disulfide bond;Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix	cell surface [GO:0009986]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; MHC class II protein complex [GO:0042613]
A0A1U8CIN2	unreviewed	Vesicle-associated membrane protein 3	Vamp3	Vamp3 VAMP3	3 out of 5	Coiled coil;Membrane;Reference proteome;Transmembrane;Transmembrane helix	cell surface [GO:0009986]; clathrin-coated vesicle [GO:0030136]; cytosol [GO:0005829]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; perinuclear region of cytoplasm [GO:0048471]; phagocytic vesicle [GO:0045335]; plasma membrane [GO:0005886]; recycling endosome [GO:0055037]; secretory granule [GO:0030141]; SNARE complex [GO:0031201]
A0A1U8C176	unreviewed	ecto-NOX disulfide-thiol exchanger 1 isoform X3	Enox1	Enox1	1 out of 5	Coiled coil;RNA-binding;Reference proteome	external side of plasma membrane [GO:0009897]
A0A1U7QHA0	unreviewed	P2X purinoceptor	P2rx1	P2rx1	4 out of 5	ATP-binding;Disulfide bond;Ion channel;Ion transport;Ligand-gated ion channel;Membrane;Nucleotide-binding;Receptor;Reference proteome;Transmembrane;Transmembrane helix;Transport	external side of plasma membrane [GO:0009897]; integral component of plasma membrane [GO:0005887]; postsynaptic membrane [GO:0045211]
A0A1U8CIL2	unreviewed	hemojuvelin	Hfe2	Hfe2	3 out of 5	Reference proteome;Signal	BMP receptor complex [GO:0070724]; cell [GO:0005623]; cell surface [GO:0009986]; extracellular space [GO:0005615]; HFE-transferrin receptor complex [GO:1990712]
A0A1U7QC50	unreviewed	integrin alpha-3 isoform X2	Itga3	Itga3	4 out of 5	Cell adhesion;Integrin;Membrane;Receptor;Reference proteome;Repeat;Transmembrane;Transmembrane helix	basolateral plasma membrane [GO:0016323]; excitatory synapse [GO:0060076]; external side of plasma membrane [GO:0009897]; filopodium membrane [GO:0031527]; integrin alpha3-beta1 complex [GO:0034667]; invadopodium membrane [GO:0071438]; synaptic membrane [GO:0097060]
A0A1U7QZ53	unreviewed	potassium voltage-gated channel subfamily A member 1	Kcna1	Kcna1	3 out of 5	Ion channel;Ion transport;Membrane;Potassium;Potassium channel;Potassium transport;Reference proteome;Transmembrane;Transmembrane helix;Transport;Voltage-gated channel	axon terminus [GO:0043679]; cell surface [GO:0009986]; dendrite [GO:0030425]; juxtaparanode region of axon [GO:0044224]; neuronal cell body [GO:0043025]; paranode region of axon [GO:0033270]; voltage-gated potassium channel complex [GO:0008076]
