Gene Name	UniProt	GeneID	GO cell surface	GO plasma membrane	Gene Name - human	UniProt - human	GeneID - human	CSPA category	Surfaceome	CRISPR	GO cell surface - human	GO plasma membrane - human	Num cell surface evidence	Num plasma membrane evidence
DPP4	A0A075TJ59	106021061	FALSE	FALSE	DPP4	P27487	1803	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4	1
mif	A0A140EDM8	101843132	FALSE	FALSE	MIF	P14174	4282		FALSE	FALSE	TRUE	TRUE	1	1
Cd320	A0A1B3B4Y9	101839938	FALSE	TRUE	CD320	Q9NPF0	51293		TRUE	FALSE	FALSE	TRUE	1	2
Slc16a7	A0A1U7Q205	101835011	FALSE	TRUE	SLC16A7	O60669	9194		TRUE	FALSE	FALSE	TRUE	1	2
Hsd11b1	A0A1U7Q209	101835279	FALSE	FALSE	HSD11B1	P28845	3290	2 - putative	FALSE	FALSE	FALSE	FALSE	1	0
Erbb2	A0A1U7Q225	101822760	FALSE	FALSE	ERBB2	P04626	2064	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	1
Sel1l	A0A1U7Q235;Q9ESM7	101834260	FALSE	FALSE	SEL1L	Q9UBV2	6400	1 - high confidence	FALSE	FALSE	FALSE	FALSE	1	0
Hp	A0A1U7Q238	101841186	FALSE	FALSE	HP	P00738	3240	1 - high confidence	FALSE	FALSE	FALSE	FALSE	1	0
Fshr	A0A1U7Q247;A0A3Q0D246	101835340	FALSE	TRUE	FSHR	P23945	2492		TRUE	TRUE	FALSE	TRUE	2	2
Ffar1	A0A1U7Q260	101834763	FALSE	TRUE	FFAR1	O14842	2864		TRUE	FALSE	FALSE	TRUE	1	2
Gjc1	A0A1U7Q267	101844542	FALSE	TRUE	GJC1	P36383	10052		FALSE	TRUE	FALSE	TRUE	1	2
Actb	A0A1U7Q273	101844587	FALSE	FALSE	ACTB	P60709	60	3 - unspecific	FALSE	FALSE	FALSE	TRUE	1	1
Zp3	A0A1U7Q274	101824371	FALSE	FALSE	ZP3	P21754	7784		TRUE	FALSE	FALSE	TRUE	1	1
Ifng	A0A1U7Q296	101825431	FALSE	FALSE	IFNG	P01579	3458		FALSE	TRUE	FALSE	FALSE	1	0
Apoa1	A0A1U7Q2B6	101841336	FALSE	FALSE	APOA1	P02647	335		FALSE	FALSE	TRUE	TRUE	1	1
Itih2	A0A1U7Q2C1	101837243	FALSE	FALSE	ITIH2	P19823	3698	1 - high confidence	FALSE	FALSE	FALSE	FALSE	1	0
Il12b	A0A1U7Q2D2	101843678	FALSE	FALSE	IL12B	P29460	3593		FALSE	FALSE	TRUE	TRUE	1	1
Adra1b	A0A1U7Q2D3;A0A3Q0CTF9	101843941	FALSE	TRUE	ADRA1B	P35368	147		TRUE	FALSE	FALSE	TRUE	1	2
Sgcd	A0A1U7Q2D6	101837953	FALSE	TRUE	SGCD	Q92629	6444	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
Sgca	A0A1U7Q2D7	101822397	FALSE	TRUE	SGCA	Q16586	6442		TRUE	FALSE	FALSE	TRUE	1	2
Sgcb	A0A1U7Q2E7	101831878	FALSE	TRUE	SGCB	Q16585	6443	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
Casp7	A0A1U7Q2E9	101825089	FALSE	FALSE	CASP7	P55210	840	3 - unspecific	FALSE	FALSE	FALSE	FALSE	1	0
