Entry	Status	Protein names	Gene names  (primary )	Gene names	Annotation	Keywords	Gene ontology (cellular component)
P63307	reviewed	Tumor necrosis factor ligand superfamily member 6 (CD95 ligand) (CD95-L) (Fas antigen ligand) (Fas ligand) (FasL) (CD antigen CD178) [Cleaved into: Tumor necrosis factor ligand superfamily member 6, membrane form; Tumor necrosis factor ligand superfamily member 6, soluble form (Receptor-binding FasL ectodomain) (Soluble Fas ligand) (sFasL); ADAM10-processed FasL form (APL); FasL intracellular domain (FasL ICD) (SPPL2A-processed FasL form) (SPA)]	FASLG	FASLG CD95L FASL TNFSF6	5 out of 5	Apoptosis;Cell membrane;Cytokine;Cytoplasmic vesicle;Disulfide bond;Glycoprotein;Lysosome;Membrane;Nucleus;Reference proteome;Repressor;Secreted;Signal-anchor;Transcription;Transcription regulation;Transmembrane;Transmembrane helix;Ubl conjugation	cell [GO:0005623]; cytoplasmic vesicle lumen [GO:0060205]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; lysosomal lumen [GO:0043202]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
Q8WNY1	reviewed	Gremlin-1	GREM1	GREM1	5 out of 5	Cytokine;Disulfide bond;Glycoprotein;Reference proteome;Secreted;Signal	cell surface [GO:0009986]; extracellular space [GO:0005615]
A8T666	reviewed	Proprotein convertase subtilisin/kexin type 9 (EC 3.4.21.-) (Proprotein convertase 9) (PC9) (Subtilisin/kexin-like protease PC9)	PCSK9	PCSK9	5 out of 5	Apoptosis;Autocatalytic cleavage;Calcium;Cholesterol metabolism;Cytoplasm;Disulfide bond;Endoplasmic reticulum;Endosome;Glycoprotein;Golgi apparatus;Hydrolase;Lipid metabolism;Lysosome;Phosphoprotein;Protease;Reference proteome;Secreted;Serine protease;Signal;Steroid metabolism;Sterol metabolism;Sulfation;Zymogen	cell surface [GO:0009986]; COPII-coated ER to Golgi transport vesicle [GO:0030134]; cytoplasm [GO:0005737]; early endosome [GO:0005769]; endoplasmic reticulum [GO:0005783]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; late endosome [GO:0005770]; lysosome [GO:0005764]; PCSK9-AnxA2 complex [GO:1990667]; PCSK9-LDLR complex [GO:1990666]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]
P79394	reviewed	C-X-C chemokine receptor type 4 (CXC-R4) (CXCR-4) (Fusin) (Leukocyte-derived seven transmembrane domain receptor) (LESTR) (Stromal cell-derived factor 1 receptor) (SDF-1 receptor) (CD antigen CD184)	CXCR4	CXCR4	5 out of 5	Cell junction;Cell membrane;Disulfide bond;Endosome;G-protein coupled receptor;Glycoprotein;Isopeptide bond;Lysosome;Membrane;Phosphoprotein;Proteoglycan;Receptor;Reference proteome;Sulfation;Transducer;Transmembrane;Transmembrane helix;Ubl conjugation	cell [GO:0005623]; cell junction [GO:0030054]; early endosome [GO:0005769]; external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]; late endosome [GO:0005770]; lysosome [GO:0005764]; plasma membrane [GO:0005886]
Q9MYL0	reviewed	Leptin receptor (LEP-R) (OB receptor) (OB-R) (CD antigen CD295)	LEPR	LEPR OBR	5 out of 5	Alternative splicing;Cell membrane;Disulfide bond;Glycoprotein;Membrane;Obesity;Phosphoprotein;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix	basolateral plasma membrane [GO:0016323]; external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]; receptor complex [GO:0043235]
P48095	reviewed	Interleukin-12 subunit beta (IL-12B) (Cytotoxic lymphocyte maturation factor 40 kDa subunit) (CLMF p40) (IL-12 subunit p40)	IL12B	IL12B	5 out of 5	Cytokine;Disulfide bond;Glycoprotein;Immunoglobulin domain;Reference proteome;Secreted;Signal	cytoplasm [GO:0005737]; external side of plasma membrane [GO:0009897]; interleukin-12 complex [GO:0043514]; interleukin-23 complex [GO:0070743]; receptor complex [GO:0043235]
Q866A2	reviewed	Neuronal acetylcholine receptor subunit alpha-7	CHRNA7	CHRNA7	5 out of 5	Cell junction;Cell membrane;Disulfide bond;Glycoprotein;Ion channel;Ion transport;Ligand-gated ion channel;Membrane;Postsynaptic cell membrane;Receptor;Reference proteome;Signal;Synapse;Transmembrane;Transmembrane helix;Transport	acetylcholine-gated channel complex [GO:0005892]; apical plasma membrane [GO:0016324]; axolemma [GO:0030673]; cell [GO:0005623]; cholinergic synapse [GO:0098981]; external side of plasma membrane [GO:0009897]; glutamatergic synapse [GO:0098978]; integral component of plasma membrane [GO:0005887]; integral component of postsynaptic density membrane [GO:0099061]; integral component of presynaptic membrane [GO:0099056]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]; synapse [GO:0045202]
O18793	reviewed	C-C chemokine receptor type 2 (C-C CKR-2) (CC-CKR-2) (CCR-2) (CCR2) (Monocyte chemoattractant protein 1 receptor) (MCP-1-R) (CD antigen CD192)	CCR2	CCR2 CMKBR2	5 out of 5	Alternative splicing;Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Inflammatory response;Membrane;Phosphoprotein;Receptor;Reference proteome;Sulfation;Transducer;Transmembrane;Transmembrane helix	cell [GO:0005623]; cytoplasm [GO:0005737]; external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
P48094	reviewed	Tumor necrosis factor (Cachectin) (TNF-alpha) (Tumor necrosis factor ligand superfamily member 2) (TNF-a) [Cleaved into: Tumor necrosis factor, membrane form (N-terminal fragment) (NTF); Intracellular domain 1 (ICD1); Intracellular domain 2 (ICD2); C-domain 1; C-domain 2; Tumor necrosis factor, soluble form]	TNF	TNF TNFA TNFSF2	5 out of 5	Cell membrane;Cytokine;Disulfide bond;Glycoprotein;Lipoprotein;Membrane;Myristate;Phosphoprotein;Reference proteome;Secreted;Signal-anchor;Transmembrane;Transmembrane helix	cell surface [GO:0009986]; external side of plasma membrane [GO:0009897]; extracellular space [GO:0005615]; integral component of plasma membrane [GO:0005887]; membrane raft [GO:0045121]; phagocytic cup [GO:0001891]; recycling endosome [GO:0055037]
Q6V7J5	reviewed	Beta-2-microglobulin	B2M	B2M	5 out of 5	3D-structure;Disulfide bond;Immunity;Immunoglobulin domain;MHC I;Reference proteome;Secreted;Signal	cytosol [GO:0005829]; external side of plasma membrane [GO:0009897]; extracellular region [GO:0005576]; Golgi apparatus [GO:0005794]; HFE-transferrin receptor complex [GO:1990712]; MHC class I peptide loading complex [GO:0042824]; MHC class I protein complex [GO:0042612]
