Gene Name	UniProt	GeneID	GO cell surface	GO plasma membrane	GeneID - human	Gene Name - human	UniProt - human	CSPA category	Surfaceome	CRISPR	GO cell surface - human	GO plasma membrane - human	Num cell surface evidence	Num plasma membrane evidence
STOML1	A0A1D5Q0D5	700510	FALSE	TRUE	9399	STOML1	Q9UBI4		FALSE	FALSE	FALSE	TRUE	0	2
FZD7	A0A1D5Q0F6	703064	FALSE	TRUE	8324	FZD7	O75084		TRUE	FALSE	FALSE	TRUE	1	2
SLC38A6	A0A1D5Q0G7;A0A5F8A4A8	704017	FALSE	TRUE	145389	SLC38A6	Q8IZM9	2 - putative	FALSE	FALSE	FALSE	TRUE	1	2
MAPK8IP1	A0A1D5Q0Z2	714950	FALSE	TRUE	9479	MAPK8IP1	Q9UQF2		FALSE	FALSE	FALSE	TRUE	0	2
FZD4	A0A1D5Q1B1;A0A5F8AC06	704754	FALSE	TRUE	8322	FZD4	Q9ULV1	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4	2
SMAD3	A0A1D5Q1C9	711355	FALSE	TRUE	4088	SMAD3	P84022		FALSE	FALSE	FALSE	TRUE	0	2
MLC1	A0A1D5Q1N9	715409	FALSE	TRUE	23209	MLC1	Q15049		FALSE	FALSE	FALSE	TRUE	0	2
CYP24A1	A0A1D5Q2L7	698937	FALSE	TRUE	1591	CYP24A1	Q07973		FALSE	FALSE	FALSE	TRUE	0	2
MAPK8IP3	A0A1D5Q3K8	702388	FALSE	TRUE	23162				FALSE	FALSE	FALSE	FALSE	0	1
ATP6V1C1	A0A1D5Q465	693840	FALSE	TRUE	528	ATP6V1C1	P21283		FALSE	FALSE	FALSE	TRUE	0	2
SLCO2A1	A0A1D5Q5B4	717411	FALSE	TRUE	6578	SLCO2A1	Q92959	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
SLC39A14	A0A1D5Q778;A0A1D5RIG3;F6U2Z9	716112	FALSE	TRUE	23516	SLC39A14	Q15043	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
CACNA1E	A0A1D5Q7C3	718092	FALSE	TRUE	777	CACNA1E	Q15878		FALSE	TRUE	FALSE	TRUE	1	2
CNOT2	A0A1D5Q7D4;F7BE69	718501	FALSE	TRUE	4848	CNOT2	Q9NZN8		FALSE	FALSE	FALSE	TRUE	0	2
ADRA2A	A0A1D5Q7E9	695684	FALSE	TRUE	150	ADRA2A	P08913	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
HCLS1	A0A1D5Q7U6;F7FS66	714044	FALSE	TRUE	3059	HCLS1	P14317		FALSE	FALSE	FALSE	TRUE	0	2
OR5M9	A0A1D5Q7Y2	705878	FALSE	TRUE	390162	OR5M9	Q8NGP3		TRUE	FALSE	FALSE	TRUE	1	2
ADCY8	A0A1D5Q874;A0A5F8A0A4;F6YPV1	695792	FALSE	TRUE	114	ADCY8	P40145		FALSE	FALSE	FALSE	TRUE	0	2
STRN3	A0A1D5Q8D3;A0A1D5QRZ9;F7C5N3;F7C5Q4	717081	FALSE	TRUE	29966	STRN3	Q13033		FALSE	FALSE	FALSE	TRUE	0	2
MTFR1	A0A1D5Q8K2;F6WPS9	711143	FALSE	TRUE	9650	MTFR1	Q15390		FALSE	FALSE	FALSE	TRUE	0	2
RNPEP	A0A1D5Q912	706696	FALSE	TRUE	6051	RNPEP	Q9H4A4		FALSE	TRUE	FALSE	TRUE	1	2
BRAF	A0A1D5Q9W4;A0A5F8A7V3	693554	FALSE	TRUE	673	BRAF	P15056		FALSE	FALSE	FALSE	TRUE	0	2
MARVELD2	A0A1D5QAA3	700370	FALSE	TRUE	153562	MARVELD2	Q8N4S9		FALSE	FALSE	FALSE	TRUE	0	2
SLC35G1	A0A1D5QAM4	700750	FALSE	TRUE	159371	SLC35G1	Q2M3R5		FALSE	FALSE	FALSE	TRUE	0	2
PCDH9	A0A1D5QAN4;F6WDU0;F6WDU9	677696	FALSE	TRUE	5101	PCDH9	Q9HC56	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
