UniProt	GeneID	Gene Name	GO cell surface	GO plasma membrane	GeneID - human	Gene Name - human	UniProt - human	CSPA category	Surfaceome	CRISPR	GO cell surface - human	GO plasma membrane - human	Num cell surface evidence	Num plasma membrane evidence
A0A1D5Q0D5	700510	STOML1	FALSE	TRUE	9399	STOML1	Q9UBI4		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5Q0F6	703064	FZD7	FALSE	TRUE	8324	FZD7	O75084		TRUE	FALSE	FALSE	TRUE	1	2
A0A1D5Q0G7	704017	SLC38A6	FALSE	TRUE	145389	SLC38A6	Q8IZM9	2 - putative	FALSE	FALSE	FALSE	TRUE	1	2
A0A1D5Q0Z2	714950	MAPK8IP1	FALSE	TRUE	9479	MAPK8IP1	Q9UQF2		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5Q1B1	704754	FZD4	FALSE	TRUE	8322	FZD4	Q9ULV1	1 - high confidence	TRUE	TRUE	TRUE	TRUE	4	2
A0A1D5Q1C9	711355	SMAD3	FALSE	TRUE	4088	SMAD3	P84022		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5Q1N9	715409	MLC1	FALSE	TRUE	23209	MLC1	Q15049		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5Q2L7	698937	CYP24A1	FALSE	TRUE	1591	CYP24A1	Q07973		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5Q3K8	702388	MAPK8IP3	FALSE	TRUE	23162				FALSE	FALSE	FALSE	FALSE	0	1
A0A1D5Q465	693840	ATP6V1C1	FALSE	TRUE	528	ATP6V1C1	P21283		FALSE	FALSE	FALSE	TRUE	0	2
A0A1D5Q5B4	717411	SLCO2A1	FALSE	TRUE	6578	SLCO2A1	Q92959	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
A0A1D5Q778	716112	SLC39A14	FALSE	TRUE	23516	SLC39A14	Q15043	1 - high confidence	TRUE	FALSE	FALSE	TRUE	2	2
